Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
2 - 2,12,Kyren Williams,RB,Control Machete,232.87,16.63,272.1,17.01,16,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},80.88,B-
9 - 6,86,Kyler Murray,QB,BHam Legion,264.09,17.61,297.24,17.48,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},80.76,B-
2 - 6,16,DJ Moore,WR,Jim-a-sore-ass,223.6,14.91,238.1,14.01,17,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},80.46,B-
7 - 8,68,D'Andre Swift,RB,Masoud's Magnificent Team,180.74,12.91,214.5,12.62,17,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},80.04,B-
4 - 5,35,Joe Mixon,RB,BHam Legion,218.62,15.62,240.5,17.18,14,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},80.0,B-
4 - 6,36,Tee Higgins,WR,Jim-a-sore-ass,202.03,14.43,222.1,18.51,12,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},79.58,C+
13 - 8,128,Justin Herbert,QB,Masoud's Magnificent Team,252.01,16.8,285.4,16.79,17,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},79.52,C+
10 - 2,92,Jayden Reed,WR,Control Machete,180.45,12.03,197.0,11.59,17,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},79.35,C+
6 - 9,59,Zay Flowers,WR,Team Date,216.41,14.43,209.5,12.32,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},79.34,C+
9 - 2,82,Najee Harris,RB,Team Date,174.97,12.5,204.6,12.04,17,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},79.16,C+
12 - 8,118,Ravens D/ST,D/ST,Django Achane'd,129.63,7.63,106.0,6.24,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},79.02,C+
12 - 6,116,Justin Tucker,K,Jim-a-sore-ass,141.89,8.35,135.0,7.94,17,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},78.67,C+
13 - 9,129,Jake Elliott,K,Control Machete,143.43,8.44,133.0,7.82,17,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},78.65,C+
5 - 2,42,Jalen Hurts,QB,Team Date,314.32,20.95,315.12,21.01,15,{EFBB74C0-DA6D-43EC-825B-CBB72282EC4B},78.38,C+
15 - 10,150,Chiefs D/ST,D/ST,Trestleches,102.3,6.02,98.0,5.76,17,{25870909-7F4E-4BCB-8709-097F4E7BCBC7},78.24,C+
10 - 5,95,Xavier Worthy,WR,BHam Legion,176.21,11.75,187.2,11.01,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},77.83,C+
3 - 8,28,Nico Collins,WR,Masoud's Magnificent Team,229.68,15.31,210.6,17.55,12,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},77.75,C+
7 - 3,63,David Njoku,TE,Django Achane'd,170.71,11.38,148.5,13.5,11,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},77.53,C+
5 - 5,45,Patrick Mahomes,QB,Jim-a-sore-ass,307.68,20.51,283.02,17.69,16,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},77.49,C+
1 - 9,9,Jonathan Taylor,RB,Control Machete,256.83,18.34,244.7,17.48,14,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},77.42,C+
8 - 5,75,Keenan Allen,WR,BHam Legion,202.19,15.55,184.4,12.29,15,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},77.39,C+
6 - 8,58,Calvin Ridley,WR,Django Achane'd,219.39,14.63,199.2,11.72,17,{AD210E40-D18C-44A3-BDBA-42E28FF54B9A},77.24,C+
6 - 2,52,DeVonta Smith,WR,Control Machete,225.23,15.02,199.4,15.34,13,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},77.05,C+
8 - 2,72,Brock Purdy,QB,Control Machete,259.3,17.29,266.86,17.79,15,{D60AD45E-EB1B-4E8E-BF07-8A41B8372244},77.02,C+
14 - 5,135,Caleb Williams,QB,BHam Legion,252.19,16.81,254.54,14.97,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},76.6,C
3 - 5,25,Sam LaPorta,TE,Jim-a-sore-ass,209.78,13.99,174.6,10.91,16,{04EBBE51-2B10-49B4-ADFB-BA8FFD1E6768},76.53,C
15 - 8,148,Bengals D/ST,D/ST,Masoud's Magnificent Team,115.76,6.81,93.0,5.47,17,{4385A6FE-E567-4B2D-974F-41AE8016A5C7},76.11,C
10 - 4,94,Aaron Rodgers,QB,Did I Set My Lineup?,265.24,17.68,256.58,15.09,17,{8C7A0230-54EF-41A3-BA02-3054EF71A3F4},75.99,C
1 - 6,6,Tyreek Hill,WR,BHam Legion,298.89,19.93,218.2,12.84,17,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},75.97,C
5 - 6,46,Kenneth Walker III,RB,BHam Legion,212.4,15.17,181.2,15.1,12,{6CCC4CB0-3D3D-4B78-875B-E6CBCCD76455},75.89,C
