Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,Owner ID
India's Most Wanted,83.7,B,0755 Fantasy Football,9,1409.56,1463.8,4-9-0,2023,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
"Bad, Bad, A.J. Brown",83.6,B,BP- Loudoun 2025,2,1992.62,1832.08,10-5-0,2025,{10FCCFDD-378B-48B3-9235-1B7FE979B565}
19th St Halal Cart,83.32,B,Pennoni Younglings,7,1539.04,1410.0,9-5-0,2022,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Abyss Diamond Eyes,83.21,B,EBC League,1,1738.42,1478.9,12-2-0,2025,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
Gabe's Grand Team,83.17,B,Family Fantasy,6,1450.04,1623.68,8-6-0,2025,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
Skibidi Rizzlers,83.13,B,Family Fantasy,5,1727.26,1603.94,8-6-0,2024,{88877912-82AE-408B-9AD4-17D54F48BACA}
Whole lotta gang sheed,83.09,B,The Mike Daisy Sports IQ League,6,1661.8,1650.02,8-6-0,2025,{474CA494-4AD5-4520-A2B3-20C7F8715363}
Pain Inflictors,83.05,B,Game of Yards!,2,1584.74,1456.54,10-4-0,2021,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
Hark,83.04,B,Brown Munde,7,1546.54,1521.66,14-14-0,2024,{8BF15A87-7793-43C2-B15A-87779313C26A}
Philadelphia British Army,82.95,B-,Pennoni Younglings,1,1482.64,1367.84,8-6-0,2022,{65213399-AD95-4113-B087-DAB0440DEF10}
Papa Murphy’s Pizza,82.78,B-,Ross' Fantasy League,12,1776.08,1786.08,7-6-0,2025,{4F687E43-B817-4279-A344-79DC261E83B4}
Eks Gonna Give It To Ya!,82.66,B-,Brown Munde,5,1587.9,1514.54,7-7-0,2023,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
PAI Alcoholics Anonymous ,82.53,B-,Pennoni Younglings,3,1463.36,1518.54,7-7-0,2022,{0CE04EAF-1603-4259-869A-A567F9953F44}
Tracey Time,82.5,B-,BP- Loudoun 2025,10,1781.9,1881.82,6-9-0,2025,{7620C450-A7B4-4E78-82D4-83946B8B23FC}
Bear Down,82.47,B-,RRR On Premise ,3,1753.02,1607.2,8-6-0,2023,{CC0C30CA-933C-4702-B525-0B223914CD0B}
Abyss Diamond Eyes,82.42,B-,EBC League,7,1709.48,1811.9,4-10-0,2022,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A}
NoHalfSends,82.18,B-,Brown Munde,2,1653.76,1628.9,8-6-0,2023,{6A39F767-40D1-4825-B0A7-1D20433A3184}
Team Padodara,82.16,B-,Brown Munde,4,1632.56,1588.82,9-5-0,2023,{1821880B-3A19-4F7F-8EE2-9DEEC03B465E}
Peter Pan + the Lost Boys ,82.09,B-,THE BEST OF THE BEST,7,1532.54,1439.04,10-4-0,2024,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
Christian McCalf-Injury,82.06,B-,Pennoni Younglings,8,1571.2,1584.4,6-8-0,2025,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1}
19th St Halal Cart,82.0,B-,Pennoni Younglings,3,1670.86,1538.04,10-4-0,2025,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
 Johnny  Dramas ,81.8,B-,RRR On Premise ,6,1634.8,1631.44,7-7-0,2021,{80A1B4AF-9D17-4408-BDA1-9667BD326651}
Stiff Armed and Dangerous,81.72,B-,Game of Yards!,2,1598.32,1399.44,10-4-0,2022,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
Pure Mature,81.62,B-,EBC League,1,1807.36,1600.98,8-6-0,2021,{6C5C9AAC-ABFF-4A0B-8E79-850BC109731F}
Team Rodriguez,81.56,B-,THE BEST OF THE BEST,9,1375.7,1425.3,4-10-0,2022,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
Multiple Scoregasm,81.51,B-,Game of Yards!,6,1565.54,1553.54,8-6-0,2020,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
Team Schottler,81.48,B-,BP- Loudoun 2025,6,1865.68,1816.06,7-7-1,2025,{E7CC7F46-F717-486C-97F3-AA57BBB5769A}
All my homies hate Dallas,81.32,B-,0755 Fantasy Football,7,1603.52,1603.86,7-7-0,2025,{CA88790D-FA73-4DE0-B975-466F5EE06CAA}
the   jadey bunch,81.21,B-,THE BEST OF THE BEST,6,1521.34,1528.08,6-8-0,2023,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
Team HebAchi,81.16,B-,Game of Yards!,7,1435.8,1539.92,12-16-0,2023,{49094F84-F849-4173-B052-21E1CDEDB4EF}
Gridiron Grace,81.11,B-,The Girl's Room 💞🏈,17,1546.94,1602.74,6-9-0,2025,{2C5A506D-2152-485A-A901-E0C1F08F8915}
Patrick's Stars,81.07,B-,0755 Fantasy Football,10,1771.38,1777.64,7-7-0,2024,{99C913F4-1FF6-4361-93D2-117EA19F759C}
The Real Kevin Nichols,81.01,B-,Philly Extra Special,6,1629.38,1735.26,6-8-0,2025,{DFBF45BA-746C-4337-BF45-BA746C73373F}
Philadelphia Bills Mafia,80.93,B-,Pennoni Younglings,8,1551.24,1703.48,5-9-0,2024,{A279F58E-795F-4115-B9F5-8E795F7115FC}
Ler of the Rings,80.88,B-,Operators Football League,6,1733.26,1472.72,9-5-0,2025,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
Olave Another,80.79,B-,0755 Fantasy Football,5,1744.22,1643.28,8-6-0,2024,{41DB8DCC-B03B-4144-9B8D-CCB03BA144A2}
19th St Halal Cart,80.41,B-,Pennoni Younglings,7,1703.48,1455.36,9-5-0,2024,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
Bryson Stott Fan Club,80.29,B-,EBC League,3,1652.7,1708.06,6-8-0,2024,{10F78273-9201-4EE8-B782-739201DEE809}
