Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
11 - 4,104,Evan Engram,TE,yay football woo,168.69,9.92,95.3,6.35,15,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},64.21,D
14 - 4,134,Jayden Reed,WR,Leafy Water,177.77,10.46,48.5,8.08,6,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},64.08,D
13 - 5,125,Justin Fields,QB,Pickens Brown Hubbard @ Mahomes,299.32,17.61,142.66,15.85,9,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},63.67,D
6 - 6,56,Sam LaPorta,TE,Pickens Brown Hubbard @ Mahomes,191.77,11.28,106.9,11.88,9,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},63.3,D
3 - 4,24,Bucky Irving,RB,yay football woo,283.47,16.67,127.7,14.19,9,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},63.21,D
7 - 10,70,Matthew Golden,WR,Matthew Golden's Goose,203.32,11.96,68.2,5.25,13,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},62.9,D-
14 - 5,135,Ravens D/ST,D/ST,Steenage Mutant Ninja Turtles,122.95,7.23,74.0,4.62,16,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},62.68,D-
9 - 8,88,Travis Hunter,WR,Matthew Dorchak,212.54,12.5,63.8,9.11,7,{A6404CB9-25F0-4B29-804C-B925F0CB2975},62.23,D-
15 - 9,149,Cardinals D/ST,D/ST,Dr@ft King$,97.74,5.75,68.0,4.25,16,{3389AE65-1498-46A0-8119-84AC1B8D92A9},61.95,D-
8 - 4,74,David Njoku,TE,Leafy Water,176.39,10.38,86.3,7.19,12,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},61.65,D-
10 - 3,93,Tank Bigsby,RB,Matthew Dorchak,109.66,6.45,36.2,2.26,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},61.42,D-
5 - 3,43,Mike Evans,WR,Kevin Nichols The Third,235.07,13.83,79.4,11.34,7,{E95CA752-6CD0-4670-853B-0AA8A2FDF295},61.01,D-
15 - 1,141,J.J. McCarthy,QB,i just wasted $20,282.57,16.62,117.4,13.04,9,{3BBCE971-7F4C-4D6F-AC1B-79EFC1DACB23},60.64,D-
14 - 9,139,Najee Harris,RB,The Real Kevin Nichols,95.04,5.59,11.6,3.87,3,{DFBF45BA-746C-4337-BF45-BA746C73373F},60.1,D-
8 - 7,77,Calvin Ridley,WR,yay football woo,229.18,13.48,47.3,6.76,7,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},59.71,F
5 - 4,44,Joe Burrow,QB,yay football woo,330.46,19.44,113.32,16.19,7,{B6F0817B-1DC0-4E29-B020-68B8E12B6931},59.33,F
11 - 5,105,Kaleb Johnson,RB,Pickens Brown Hubbard @ Mahomes,159.81,9.4,8.8,0.88,10,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},58.06,F
9 - 7,87,Austin Ekeler,RB,Leafy Water,207.83,12.23,13.1,6.55,2,{E74CE5E4-052E-4573-8BBD-CEFBC6AFEF21},57.42,F
3 - 10,30,Jayden Daniels,QB,Matthew Golden's Goose,371.59,21.86,114.28,16.33,7,{432EA93E-0C1B-4AD7-AEA9-3E0C1B8AD7D1},57.2,F
5 - 8,48,James Conner,RB,Matthew Dorchak,250.16,14.72,33.3,11.1,3,{A6404CB9-25F0-4B29-804C-B925F0CB2975},56.94,F
10 - 6,96,Joe Mixon,RB,Pickens Brown Hubbard @ Mahomes,118.07,13.12,0.0,0.0,0,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},56.9,F
3 - 5,25,Tyreek Hill,WR,Pickens Brown Hubbard @ Mahomes,263.71,15.51,53.5,13.38,4,{1E294587-F125-49A7-AD9D-7567C0C3DEE1},56.58,F
8 - 5,75,Kyler Murray,QB,Steenage Mutant Ninja Turtles,306.94,18.06,77.78,15.56,5,{F52EDAFE-42E8-4DD6-9DB5-61536C3C6528},55.65,F
2 - 3,13,Malik Nabers,WR,Matthew Dorchak,301.35,17.73,57.1,14.28,4,{A6404CB9-25F0-4B29-804C-B925F0CB2975},54.67,F
15 - 8,148,Bengals D/ST,D/ST,Matthew Dorchak,61.73,3.63,35.0,2.19,16,{A6404CB9-25F0-4B29-804C-B925F0CB2975},52.33,F
14 - 3,133,Tyler Bass,K,Matthew Dorchak,108.24,8.33,0.0,0.0,0,{A6404CB9-25F0-4B29-804C-B925F0CB2975},50.14,F
