Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
13 - 11,155,Geno Smith,QB,Philadelphia Bills Mafia,262.25,15.43,173.9,11.59,15,{A279F58E-795F-4115-B9F5-8E795F7115FC},71.98,C-
14 - 11,167,Brandon McManus,K,Daddy's Finally Home,131.55,7.74,100.0,7.69,13,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},71.67,C-
13 - 3,147,Jake Elliott,K,1900 Sleepers,135.68,7.98,100.0,6.25,16,{FB64662C-A6C7-423B-B6EE-231900310D44},70.87,C-
7 - 1,73,Jerry Jeudy,WR,PAI Alcoholics Anonymous ,231.68,13.63,116.5,7.28,16,{0CE04EAF-1603-4259-869A-A567F9953F44},70.83,C-
4 - 5,41,Omarion Hampton,RB,19th St Halal Cart,259.66,15.27,135.7,15.08,9,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},70.8,C-
11 - 11,131,Dalton Kincaid,TE,Philadelphia Bills Mafia,146.88,8.64,118.3,10.75,11,{A279F58E-795F-4115-B9F5-8E795F7115FC},70.36,C-
8 - 9,93,Cooper Kupp,WR,Pho_King,202.5,11.91,111.4,7.43,15,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},70.05,C-
9 - 3,99,Nick Chubb,RB,1900 Sleepers,119.8,7.05,88.3,5.89,15,{FB64662C-A6C7-423B-B6EE-231900310D44},69.84,D+
5 - 2,50,Marvin Harrison Jr.,WR,Daddy's Finally Home,240.21,14.13,127.8,10.65,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},69.72,D+
6 - 9,69,Tucker Kraft,TE,Pho_King,160.03,9.41,117.2,14.65,8,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},69.54,D+
15 - 10,178,Colts D/ST,D/ST,Red Zone Risk Assessors,125.83,7.4,91.0,5.69,16,{6FB8D500-4E34-47B8-9028-B156BEC56621},69.52,D+
4 - 9,45,Aaron Jones Sr.,RB,Pho_King,216.44,12.73,118.7,9.89,12,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},69.5,D+
11 - 6,126,Xavier Legette,WR,Christian McCalf-Injury,166.04,9.77,84.1,6.01,14,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},68.94,D+
10 - 8,116,Keon Coleman,WR,Prahlad's Ghost,201.16,11.83,93.5,7.79,12,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42},68.9,D+
13 - 6,150,Brian Robinson Jr.,RB,Christian McCalf-Injury,76.38,4.49,61.6,3.85,16,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},68.8,D+
12 - 1,133,Darnell Mooney,WR,cman,160.88,10.05,77.3,5.52,14,{3038B793-C0D8-4773-82BA-30F522EA1C1A},68.6,D+
14 - 3,159,Brenton Strange,TE,Red Zone Risk Assessors,139.49,8.21,100.8,9.16,11,{6FB8D500-4E34-47B8-9028-B156BEC56621},68.51,D+
6 - 6,66,T.J. Hockenson,TE,Eli,184.62,10.86,112.8,7.52,15,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},68.5,D+
7 - 12,84,Brock Purdy,QB,cman,307.6,18.09,172.2,21.52,8,{3038B793-C0D8-4773-82BA-30F522EA1C1A},68.3,D+
3 - 4,28,Lamar Jackson,QB,Pho_King,364.56,21.44,194.44,16.2,12,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},68.13,D+
2 - 4,16,Brian Thomas Jr.,WR,The Golden Receivers,270.34,15.9,130.9,10.07,13,{4656A2AD-A939-460B-96A2-ADA939760B8B},67.85,D+
5 - 1,49,Xavier Worthy,WR,PAI Alcoholics Anonymous ,166.9,13.91,109.9,7.85,14,{0CE04EAF-1603-4259-869A-A567F9953F44},66.99,D
11 - 7,127,Justin Fields,QB,Eli,299.91,17.64,142.66,15.85,9,{4406D5E2-027E-496A-8DB3-92E87CDFFD33},66.74,D
7 - 6,78,Ricky Pearsall,WR,Christian McCalf-Injury,198.53,11.68,88.6,9.84,9,{E5F04052-4D5B-41A7-B040-524D5BF1A7E1},66.57,D
12 - 10,142,Cedric Tillman,WR,1900 Sleepers,166.12,9.77,56.7,4.73,12,{FB64662C-A6C7-423B-B6EE-231900310D44},66.38,D
4 - 2,38,Chuba Hubbard,RB,Philadelphia Bills Mafia,258.83,15.23,121.7,8.69,14,{A279F58E-795F-4115-B9F5-8E795F7115FC},66.18,D
6 - 12,72,Isiah Pacheco,RB,PAI Alcoholics Anonymous ,213.94,12.58,87.3,6.72,13,{0CE04EAF-1603-4259-869A-A567F9953F44},66.05,D
14 - 5,161,Lions D/ST,D/ST,19th St Halal Cart,135.06,7.94,87.0,5.44,16,{DC811D3C-5EC4-4818-8E91-66D1350A42D2},66.01,D
