Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
11 - 2,122,Rhamondre Stevenson,RB,Caleb's Calculated Team,173.08,10.18,143.5,11.04,13,{73111650-DB56-4FEE-A451-8B9B298D4624},77.26,C+
4 - 7,43,Drake London,WR,Ross' Sauces,267.38,15.73,184.1,16.74,11,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},77.17,C+
13 - 10,154,Tyler Allgeier,RB,Dookey Dukes,104.78,6.16,120.1,7.51,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},77.16,C+
2 - 11,23,Brock Bowers,TE,Caleb's Calculated Team,262.19,15.42,176.2,14.68,12,{73111650-DB56-4FEE-A451-8B9B298D4624},77.06,C+
5 - 1,49,Ladd McConkey,WR,Club Penguins,243.24,14.31,180.9,11.31,16,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},77.01,C+
11 - 7,127,Jordan Addison,WR,dFIBulators,167.31,11.95,133.3,10.25,13,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},76.98,C
2 - 6,18,CeeDee Lamb,WR,dFIBulators,317.53,18.68,199.5,15.35,13,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},76.95,C
4 - 5,41,Jordan Love,QB,Chill YNs,264.55,15.56,235.14,15.68,15,{61563278-5915-4089-8B19-0BFACDFA9B38},76.9,C
7 - 2,74,Kenneth Walker III,RB,Caleb's Calculated Team,238.79,14.05,174.6,10.91,16,{73111650-DB56-4FEE-A451-8B9B298D4624},76.89,C
16 - 12,192,Aaron Rodgers,QB,Club Penguins,232.61,13.68,209.32,13.95,15,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},76.86,C
6 - 8,68,DJ Moore,WR,Balls@ck Gafoor,237.95,14.0,168.08,10.51,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},76.29,C
10 - 12,120,Colston Loveland,TE,Club Penguins,155.19,9.13,140.0,9.33,15,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},76.04,C
2 - 8,20,Ashton Jeanty,RB,Balls@ck Gafoor,302.05,17.77,232.7,14.54,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},76.02,C
2 - 5,17,Tee Higgins,WR,Chill YNs,265.41,15.61,192.9,13.78,14,{61563278-5915-4089-8B19-0BFACDFA9B38},75.95,C
10 - 7,115,Bryce Young,QB,Ross' Sauces,267.9,15.76,201.5,13.43,15,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},75.92,C
12 - 3,135,Cam Skattebo,RB,Dookey Dukes,139.35,8.2,127.7,15.96,8,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},75.91,C
1 - 9,9,Saquon Barkley,RB,Yvng Killas,325.99,19.18,232.3,14.52,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},75.72,C
12 - 11,143,Jordan Mason,RB,Caleb's Calculated Team,133.58,7.86,119.5,7.97,15,{73111650-DB56-4FEE-A451-8B9B298D4624},75.63,C
11 - 5,125,Josh Downs,WR,Balls@ck Gafoor,179.09,10.53,126.8,8.45,15,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},75.6,C
8 - 3,87,Rome Odunze,WR,Dookey Dukes,217.05,12.77,146.1,12.18,12,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},75.35,C
12 - 12,144,Bills D/ST,D/ST,Club Penguins,100.27,5.9,110.0,6.88,16,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},75.26,C
7 - 6,78,David Montgomery,RB,Ross' Sauces,213.4,12.55,160.42,10.03,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},75.02,C
12 - 2,134,Steelers D/ST,D/ST,TUFF,132.67,7.8,109.0,6.81,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},74.56,C
4 - 9,45,George Kittle,TE,BetterThanDeanAtSF6,227.72,13.4,153.6,15.36,10,{97D2EB78-E92D-4E1F-94B3-CE836B504199},74.53,C
9 - 1,97,Tyrone Tracy Jr.,RB,Club Penguins,206.87,12.17,132.9,9.49,14,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},74.52,C
14 - 2,158,Zach Ertz,TE,TUFF,141.79,8.34,126.4,9.72,13,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},74.5,C
2 - 2,14,Justin Jefferson,WR,TUFF,315.86,18.58,183.1,11.44,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},74.45,C
15 - 3,171,Nick Chubb,RB,Chase Ball. Touchdown!,119.72,7.04,88.3,5.89,15,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},74.34,C
11 - 4,124,Jayden Higgins,WR,BetterThanDeanAtSF6,161.48,9.5,119.2,7.45,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},74.29,C
16 - 5,185,Jake Elliott,K,Chill YNs,141.38,8.32,104.0,6.5,16,{61563278-5915-4089-8B19-0BFACDFA9B38},74.13,C
14 - 11,167,Bhayshul Tuten,RB,Caleb's Calculated Team,4.71,0.28,80.3,5.74,14,{73111650-DB56-4FEE-A451-8B9B298D4624},73.28,C
16 - 7,187,Cam Ward,QB,Ross' Sauces,257.24,15.13,177.48,11.09,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},73.03,C
12 - 5,137,Tyjae Spears,RB,Chill YNs,119.18,9.17,102.0,8.5,12,{61563278-5915-4089-8B19-0BFACDFA9B38},72.88,C-
7 - 7,79,Mark Andrews,TE,dFIBulators,173.38,10.2,127.6,7.98,16,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},72.86,C-
5 - 6,54,Rashee Rice,WR,Ross' Sauces,163.06,14.82,150.1,18.76,8,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},72.65,C-
15 - 6,174,DeMario Douglas,WR,Ross' Sauces,141.71,8.34,90.9,5.68,16,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},72.63,C-
7 - 3,75,Jacory Croskey-Merritt,RB,Chase Ball. Touchdown!,163.77,9.63,137.4,8.59,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},71.97,C-
12 - 10,142,Dalton Kincaid,TE,Chase Ball. Touchdown!,146.83,8.64,118.3,10.75,11,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},71.74,C-
14 - 5,161,Xavier Legette,WR,Chill YNs,165.97,9.76,84.1,6.01,14,{61563278-5915-4089-8B19-0BFACDFA9B38},71.57,C-
10 - 2,110,Tucker Kraft,TE,TUFF,159.96,9.41,117.2,14.65,8,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},71.17,C-
9 - 9,105,Tua Tagovailoa,QB,Yvng Killas,275.91,16.23,160.7,11.48,14,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},71.01,C-
10 - 3,111,Cooper Kupp,WR,Dookey Dukes,202.37,11.9,111.4,7.43,15,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},71.01,C-
5 - 11,59,Omarion Hampton,RB,TUFF,259.42,15.26,135.7,15.08,9,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},70.8,C-
3 - 3,27,C.J. Stroud,QB,Chase Ball. Touchdown!,280.36,16.49,191.28,14.71,13,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},70.61,C-
6 - 11,71,Geno Smith,QB,Caleb's Calculated Team,261.2,15.36,173.9,11.59,15,{73111650-DB56-4FEE-A451-8B9B298D4624},70.53,C-
7 - 11,83,Jerry Jeudy,WR,TUFF,231.44,13.61,116.5,7.28,16,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},70.43,C-
8 - 5,89,J.K. Dobbins,RB,Chill YNs,171.37,10.08,115.9,11.59,10,{61563278-5915-4089-8B19-0BFACDFA9B38},70.29,C-
15 - 5,173,Brenton Strange,TE,Balls@ck Gafoor,139.46,8.2,100.8,9.16,11,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},70.25,C-
7 - 12,84,Aaron Jones Sr.,RB,Papa Murphy’s Pizza,216.32,12.72,118.7,9.89,12,{4F687E43-B817-4279-A344-79DC261E83B4},69.9,D+
5 - 12,60,Chuba Hubbard,RB,Papa Murphy’s Pizza,258.55,15.21,121.7,8.69,14,{4F687E43-B817-4279-A344-79DC261E83B4},69.89,D+
6 - 7,67,T.J. Hockenson,TE,Ross' Sauces,184.54,10.86,112.8,7.52,15,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},69.6,D+
15 - 10,178,Colts D/ST,D/ST,Dookey Dukes,111.49,6.56,82.0,5.12,16,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},69.51,D+
4 - 3,39,Brian Thomas Jr.,WR,Dookey Dukes,270.04,15.88,130.9,10.07,13,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},68.94,D+
4 - 11,47,Marvin Harrison Jr.,WR,Caleb's Calculated Team,240.0,14.12,127.8,10.65,12,{73111650-DB56-4FEE-A451-8B9B298D4624},68.91,D+
15 - 8,176,Lions D/ST,D/ST,Chill YNs,122.53,7.21,85.0,5.31,16,{61563278-5915-4089-8B19-0BFACDFA9B38},68.8,D+
1 - 11,11,Brock Purdy,QB,TUFF,306.21,18.01,172.2,21.53,8,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},68.11,D+
14 - 3,159,Jaylen Wright,RB,Dookey Dukes,45.44,3.25,44.2,4.91,9,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},67.86,D+
14 - 6,162,Jerome Ford,RB,dFIBulators,109.27,6.43,43.6,3.35,13,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},67.78,D+
15 - 4,172,Ray Davis,RB,BetterThanDeanAtSF6,81.61,4.8,38.7,2.42,16,{97D2EB78-E92D-4E1F-94B3-CE836B504199},67.77,D+
10 - 8,116,Ricky Pearsall,WR,Balls@ck Gafoor,198.38,11.67,88.6,9.84,9,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},67.73,D+
6 - 12,72,Justin Fields,QB,Club Penguins,299.32,17.61,142.66,15.85,9,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},67.57,D+
14 - 1,157,Cedric Tillman,WR,Papa Murphy’s Pizza,166.03,9.77,56.7,4.73,12,{4F687E43-B817-4279-A344-79DC261E83B4},67.39,D+
9 - 3,99,Keon Coleman,WR,Chase Ball. Touchdown!,201.02,11.82,93.5,7.79,12,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},67.32,D+
6 - 4,64,Sam LaPorta,TE,Yvng Killas,191.77,11.28,106.9,11.88,9,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},67.23,D+
13 - 11,155,Rashod Bateman,WR,TUFF,135.98,8.0,55.4,4.26,13,{B644AC1E-B15A-492F-90A8-E74A28ECCC48},67.19,D+
14 - 12,168,Mason Taylor,TE,Club Penguins,130.03,7.65,88.9,6.84,13,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},67.07,D+
1 - 2,2,Lamar Jackson,QB,Caleb's Calculated Team,363.8,21.4,194.44,16.2,12,{73111650-DB56-4FEE-A451-8B9B298D4624},66.7,D
9 - 10,106,Evan Engram,TE,Dookey Dukes,168.69,9.92,95.3,6.35,15,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4},66.49,D
11 - 1,121,Darnell Mooney,WR,Club Penguins,160.79,10.05,77.3,5.52,14,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE},66.42,D
16 - 8,188,Cardinals D/ST,D/ST,Balls@ck Gafoor,97.74,5.75,68.0,4.25,16,{ED03B9B7-0400-49D3-9ED6-622F04F546F8},66.27,D
8 - 4,88,Isiah Pacheco,RB,Yvng Killas,213.79,12.58,87.3,6.72,13,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},66.05,D
9 - 4,100,J.J. McCarthy,QB,BetterThanDeanAtSF6,282.57,16.62,117.4,13.04,9,{97D2EB78-E92D-4E1F-94B3-CE836B504199},65.8,D
4 - 1,37,Xavier Worthy,WR,Papa Murphy’s Pizza,166.79,13.9,109.9,7.85,14,{4F687E43-B817-4279-A344-79DC261E83B4},65.68,D
8 - 7,91,Michael Penix Jr.,QB,Ross' Sauces,251.13,14.77,120.28,13.36,9,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB},65.53,D
9 - 2,98,Chris Godwin Jr.,WR,Caleb's Calculated Team,187.56,14.43,81.2,10.15,8,{73111650-DB56-4FEE-A451-8B9B298D4624},65.44,D
5 - 7,55,Garrett Wilson,WR,dFIBulators,241.4,14.2,99.5,12.44,8,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F},65.41,D
5 - 2,50,Terry McLaurin,WR,Caleb's Calculated Team,247.66,14.57,104.5,11.61,9,{73111650-DB56-4FEE-A451-8B9B298D4624},65.4,D
13 - 3,147,Ravens D/ST,D/ST,Chase Ball. Touchdown!,122.95,7.23,74.0,4.62,16,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A},65.36,D
