Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
7 - 4,64,Rome Odunze,WR,3rd World Immigrant,217.05,12.77,146.1,12.18,12,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},73.72,C
7 - 1,61,Rashee Rice,WR,All my homies hate Dallas,163.06,14.82,150.1,18.76,8,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},73.47,C
10 - 1,91,Jordan Addison,WR,Scrappy Dub,167.31,11.95,133.3,10.25,13,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},73.35,C
11 - 5,105,Steelers D/ST,D/ST,Griddy Little Liars,147.19,8.66,115.0,7.19,16,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},72.54,C-
5 - 5,45,George Kittle,TE,Griddy Little Liars,227.72,13.4,153.6,15.36,10,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},72.25,C-
10 - 10,100,J.K. Dobbins,RB,All my homies hate Dallas,171.37,10.08,115.9,11.59,10,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},72.23,C-
8 - 3,73,Tyrone Tracy Jr.,RB,"Michael, The Baker",206.87,12.17,132.9,9.49,14,{5E530C03-3F19-48F0-A309-52B769E76347},72.08,C-
14 - 8,138,Marvin Mims Jr.,WR,I'm Batman,149.08,8.77,90.0,6.43,14,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},70.9,C-
15 - 4,144,Jake Elliott,K,3rd World Immigrant,133.05,7.83,97.0,6.06,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},70.89,C-
16 - 8,158,Bhayshul Tuten,RB,I'm Batman,4.71,0.28,80.3,5.74,14,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},70.64,C-
8 - 9,79,Mark Andrews,TE,AJ's Awesome Team,173.38,10.2,127.6,7.97,16,{353273A6-6607-4A68-ADDE-CC045C217594},70.48,C-
16 - 9,159,Darnell Mooney,WR,AJ's Awesome Team,160.79,10.05,77.3,5.52,14,{353273A6-6607-4A68-ADDE-CC045C217594},69.59,D+
8 - 4,74,Cooper Kupp,WR,Chicken Fried Chicken Meal,202.37,11.9,111.4,7.43,15,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},69.49,D+
14 - 6,136,Dalton Kincaid,TE,Griddy Little Liars,146.83,8.64,118.3,10.75,11,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},69.28,D+
10 - 3,93,Tucker Kraft,TE,"Michael, The Baker",159.96,9.41,117.2,14.65,8,{5E530C03-3F19-48F0-A309-52B769E76347},68.89,D+
11 - 9,109,Keon Coleman,WR,Division iPad,201.02,11.82,93.5,7.79,12,{A279F58E-795F-4115-B9F5-8E795F7115FC},68.59,D+
7 - 5,65,Aaron Jones Sr.,RB,Griddy Little Liars,216.32,12.72,118.7,9.89,12,{F8041501-6351-4CA9-A6EA-E7101A0AB6C6},68.55,D+
4 - 3,33,Omarion Hampton,RB,"Michael, The Baker",259.42,15.26,135.7,15.08,9,{5E530C03-3F19-48F0-A309-52B769E76347},68.53,D+
4 - 10,40,Marvin Harrison Jr.,WR,All my homies hate Dallas,240.0,14.12,127.8,10.65,12,{CA88790D-FA73-4DE0-B975-466F5EE06CAA},68.35,D+
4 - 4,34,Lamar Jackson,QB,Chicken Fried Chicken Meal,363.8,21.4,194.44,16.2,12,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},68.27,D+
15 - 10,150,Matt Gay,K,Scrappy Dub,131.47,7.73,82.0,6.83,12,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},67.88,D+
4 - 5,35,Chuba Hubbard,RB,Mr Steinfeld's Stars,258.55,15.21,121.7,8.69,14,{99C913F4-1FF6-4361-93D2-117EA19F759C},67.69,D+
6 - 1,51,Jerry Jeudy,WR,Scrappy Dub,231.44,13.61,116.5,7.28,16,{B1F0C84F-7E0C-4088-B0C8-4F7E0C008826},67.65,D+
9 - 7,87,Nick Chubb,RB,Chicken Fried Chicken Meal,119.72,7.04,88.3,5.89,15,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB},67.37,D+
2 - 8,18,Brian Thomas Jr.,WR,I'm Batman,270.04,15.88,130.9,10.07,13,{03E31D1D-A927-47A0-B1C9-F4AD3AF7BFB8},67.29,D+
