Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Draft Grade,Letter Grade
16 - 8,158,Jimmy Graham,TE,Team Vellapanti,89.18,5.95,118.6,7.41,16,{4C1C5213-4BB5-4243-87AC-0BCB2D637264},81.22,B-
10 - 1,91,Justin Tucker,K,Fresh Prince  Of Hel-Aire,135.22,8.45,142.0,8.88,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},81.13,B-
3 - 5,25,Mike Evans,WR,Bhambhwani Pawan Dilip,190.9,13.64,213.6,13.35,16,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},80.96,B-
7 - 6,66,Tom Brady,QB,Pain Inflictors,299.69,21.41,339.92,21.24,16,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},80.88,B-
13 - 5,125,Mike Gesicki,TE,Bhambhwani Pawan Dilip,112.4,7.49,132.8,8.85,15,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3},80.61,B-
15 - 7,147,Jonnu Smith,TE,Multiple Scoregasm,92.91,6.19,119.7,7.98,15,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},80.44,B-
6 - 1,51,Terry McLaurin,WR,Fresh Prince  Of Hel-Aire,172.58,11.51,183.3,12.22,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},80.25,B-
10 - 9,99,Will Fuller V,WR,Team Amijaz,183.84,12.26,165.9,15.08,11,{E8084BA7-697B-4617-884B-A7697B7617C9},80.23,B-
1 - 10,10,Josh Jacobs,RB,Fresh Prince  Of Hel-Aire,223.18,15.94,214.8,14.32,15,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},80.01,B-
6 - 5,55,D'Andre Swift,RB,Pain Inflictors,142.8,10.2,166.8,12.83,13,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},79.76,C+
3 - 10,30,Amari Cooper,WR,Fresh Prince  Of Hel-Aire,185.79,12.39,192.3,12.02,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},79.58,C+
11 - 4,104,Latavius Murray,RB,Team BIGMADBLUE,119.69,8.55,124.7,8.31,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},79.38,C+
4 - 5,35,David Johnson,RB,Pain Inflictors,216.16,15.44,163.0,13.58,12,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04},79.22,C+
14 - 1,131,Kirk Cousins,QB,Fresh Prince  Of Hel-Aire,236.7,15.78,314.2,19.64,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},78.84,C+
17 - 8,168,Ka'imi Fairbairn,K,Wakanda Forever,120.21,7.51,128.0,8.0,16,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC},78.75,C+
4 - 9,39,DJ Moore,WR,Team Amijaz,187.13,12.48,181.5,12.1,15,{E8084BA7-697B-4617-884B-A7697B7617C9},78.55,C+
5 - 10,50,Rob Gronkowski,TE,Fresh Prince  Of Hel-Aire,116.59,8.33,126.8,7.93,16,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC},78.53,C+
9 - 4,84,Tyler Boyd,WR,Team BIGMADBLUE,156.34,10.42,154.64,10.31,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},78.44,C+
2 - 4,14,Nick Chubb,RB,Multiple Scoregasm,229.24,16.37,200.2,16.68,12,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},78.27,C+
3 - 7,27,Chris Carson,RB,Multiple Scoregasm,206.63,14.76,169.3,14.11,12,{65AA71E4-A3D5-46CC-A222-C0C93E886D81},78.16,C+
9 - 2,82,Devin Singletary,RB,Team Amijaz,154.48,11.03,126.1,7.88,16,{E8084BA7-697B-4617-884B-A7697B7617C9},78.1,C+
12 - 7,117,Hayden Hurst,TE,Team BIGMADBLUE,115.77,7.72,121.6,7.6,16,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},78.06,C+
3 - 9,29,JuJu Smith-Schuster,WR,Muqaddar Ka Sikandar,183.27,12.22,185.6,11.6,16,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9},77.93,C+
14 - 7,137,Eric Ebron,TE,Team BIGMADBLUE,95.72,6.38,113.8,7.59,15,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC},77.8,C+
