Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
4 - 8,44,DeVonta Smith,WR,For Me to Poop on,225.23,15.02,130.3,13.03,10,71.99,C-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
6 - 6,66,Keenan Allen,WR,Breece Hall Sucks,202.19,15.55,124.1,11.28,11,71.98,C-,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
14 - 4,160,Rashid Shaheed,WR,Rizzly Bears,158.99,10.6,79.8,11.4,7,71.94,C-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
16 - 4,184,Cairo Santos,K,Rizzly Bears,137.1,8.06,82.0,6.31,13,71.92,C-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
13 - 10,154,DeMario Douglas,WR,Oh My Josh,164.84,10.99,108.7,8.36,13,71.92,C-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
12 - 11,143,Harrison Butker,K,Skibidi Rizzlers,146.59,8.62,80.0,8.89,9,71.12,C-,{88877912-82AE-408B-9AD4-17D54F48BACA}
13 - 12,156,Evan McPherson,K,Tortured Football Department,138.85,8.17,88.0,7.33,12,70.71,C-,{8F726947-16B6-4023-8839-58DD00CD6659}
14 - 11,167,Dalton Schultz,TE,Skibidi Rizzlers,133.13,8.88,89.4,6.88,13,70.55,C-,{88877912-82AE-408B-9AD4-17D54F48BACA}
11 - 2,122,Adam Thielen,WR,Skibidi Rizzlers,171.4,11.43,76.7,12.78,6,70.25,C-,{88877912-82AE-408B-9AD4-17D54F48BACA}
6 - 11,71,Dallas Goedert,TE,Skibidi Rizzlers,152.14,10.14,94.1,10.46,9,69.91,D+,{88877912-82AE-408B-9AD4-17D54F48BACA}
12 - 12,144,Chiefs D/ST,D/ST,lawrence's Loud Team,102.3,6.02,67.0,5.15,13,69.35,D+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
16 - 9,189,Dontayvion Wicks,WR,Gabe's Grand Team,125.82,8.39,78.6,6.05,13,69.17,D+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
10 - 6,114,Tyler Lockett,WR,Breece Hall Sucks,170.33,12.17,104.1,8.01,13,69.12,D+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
7 - 10,82,Kyle Pitts,TE,Oh My Josh,167.16,11.14,104.8,8.06,13,69.08,D+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
9 - 6,102,Jake Elliott,K,Numb Nutz,143.43,8.44,87.0,6.69,13,68.79,D+,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
11 - 5,125,Jerome Ford,RB,For Me to Poop on,142.8,10.2,89.3,8.12,11,68.61,D+,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
11 - 9,129,Jets D/ST,D/ST,Rizzly Bears,130.8,7.69,73.0,5.62,13,68.47,D+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
3 - 12,36,Sam LaPorta,TE,Tortured Football Department,209.78,13.99,110.5,9.21,12,68.18,D+,{8F726947-16B6-4023-8839-58DD00CD6659}
6 - 9,69,Tank Dell,WR,Gabe's Grand Team,211.88,14.13,112.1,9.34,12,68.09,D+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 7,31,Deebo Samuel Sr.,WR,Breece Hall Sucks,221.23,15.8,119.4,9.18,13,68.08,D+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
9 - 1,97,Zack Moss,RB,lawrence's Loud Team,155.33,11.09,81.9,10.24,8,67.95,D+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
7 - 7,79,Dak Prescott,QB,Breece Hall Sucks,276.67,18.44,116.52,14.57,8,67.87,D+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
12 - 2,134,Tyler Allgeier,RB,Your Mom,141.24,10.09,87.0,6.69,13,67.57,D+,{F1F84656-65C6-418D-85EB-A941DF949C09}
5 - 4,52,Anthony Richardson,QB,Gabe's Grand Team,275.89,18.39,128.74,14.3,9,67.34,D+,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
12 - 10,142,Joshua Palmer,WR,SIGMAS,168.28,11.22,87.2,7.27,12,66.72,D,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
13 - 9,153,Tyler Conklin,TE,Rizzly Bears,128.46,8.56,79.7,6.13,13,66.41,D,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
6 - 2,62,Evan Engram,TE,Your Mom,183.21,12.21,89.5,9.94,9,66.34,D,{F1F84656-65C6-418D-85EB-A941DF949C09}
10 - 12,120,Keon Coleman,WR,lawrence's Loud Team,169.97,11.33,83.7,9.3,9,66.24,D,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
4 - 1,37,Michael Pittman Jr.,WR,Tortured Football Department,230.91,15.39,113.0,9.42,12,66.09,D,{8F726947-16B6-4023-8839-58DD00CD6659}
4 - 10,46,Amari Cooper,WR,SIGMAS,209.6,13.97,106.1,9.65,11,65.71,D,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
9 - 8,104,Jaylen Warren,RB,Golden Receivers,177.64,12.69,89.1,8.1,11,65.71,D,{4656A2AD-A939-460B-96A2-ADA939760B8B}
8 - 8,92,Christian Watson,WR,For Me to Poop on,188.61,12.57,94.4,7.87,12,65.11,D,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
11 - 7,127,Cowboys D/ST,D/ST,Breece Hall Sucks,131.5,7.74,64.0,4.92,13,64.65,D,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
7 - 9,81,Jake Ferguson,TE,Rizzly Bears,165.68,11.05,84.1,8.41,10,64.56,D,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
14 - 1,157,Deshaun Watson,QB,Tortured Football Department,258.63,17.24,76.72,10.96,7,64.56,D,{8F726947-16B6-4023-8839-58DD00CD6659}
12 - 8,140,Chig Okonkwo,TE,For Me to Poop on,118.41,7.89,69.7,5.36,13,64.34,D,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
14 - 3,159,Dolphins D/ST,D/ST,Oh My Josh,116.75,6.87,58.0,4.46,13,64.08,D,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
15 - 11,179,Saints D/ST,D/ST,Your Mom,116.17,6.83,58.0,4.46,13,64.02,D,{F1F84656-65C6-418D-85EB-A941DF949C09}
6 - 7,67,Dalton Kincaid,TE,Numb Nutz,172.22,11.48,81.6,8.16,10,63.42,D,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
11 - 4,124,Browns D/ST,D/ST,Gabe's Grand Team,137.81,8.11,62.0,4.77,13,63.38,D,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
16 - 11,191,Tyler Boyd,WR,Skibidi Rizzlers,131.96,8.8,65.0,5.0,13,63.31,D,{88877912-82AE-408B-9AD4-17D54F48BACA}
16 - 3,183,Miles Sanders,RB,Oh My Josh,86.51,6.18,50.7,5.07,10,63.25,D,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
11 - 10,130,T.J. Hockenson,TE,Oh My Josh,130.0,13.0,56.9,9.48,6,62.93,D-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
13 - 1,145,Jaleel McLaughlin,RB,lawrence's Loud Team,137.78,9.84,74.4,5.72,13,62.69,D-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
15 - 2,170,Antonio Gibson,RB,Skibidi Rizzlers,141.85,10.91,73.0,5.62,13,62.69,D-,{88877912-82AE-408B-9AD4-17D54F48BACA}
5 - 3,51,Rashee Rice,WR,SIGMAS,209.27,14.95,64.9,16.23,4,62.68,D-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
9 - 7,103,Devin Singletary,RB,Breece Hall Sucks,168.32,12.02,75.6,6.87,11,61.69,D-,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
2 - 7,19,Travis Etienne Jr.,RB,Numb Nutz,225.37,16.1,94.5,8.59,11,61.61,D-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
7 - 5,77,Diontae Johnson,WR,For Me to Poop on,208.5,13.9,85.9,7.81,11,61.33,D-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
10 - 10,118,Nick Chubb,RB,SIGMAS,134.04,14.89,61.2,8.74,7,60.79,D-,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
8 - 1,85,Christian Kirk,WR,Tortured Football Department,205.43,13.7,70.9,8.86,8,59.99,F-,{8F726947-16B6-4023-8839-58DD00CD6659}
16 - 12,192,Kenneth Gainwell,RB,lawrence's Loud Team,77.15,5.51,45.1,3.47,13,59.46,F-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
