Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade
13 - 2,Pat Freiermuth,TE,Crazy Kat,109.8,7.32,97.0,7.46,13,63.76005652306926
14 - 1,Taysom Hill,TE,The  Dream crusher,110.48,7.37,90.84,11.36,8,63.58685899010789
1 - 11,Justin Jefferson,WR,Taco Tuesday Everyday,229.12,15.27,197.68,15.21,13,63.32557437875182
4 - 8,Drake London,WR,Peter Pan + the Lost Boys ,183.91,12.26,159.8,12.29,13,62.859471575728335
3 - 13,Jordan Love,QB,The Upside Down,206.72,17.23,188.06,17.1,11,62.23252786962698
1 - 7,Bijan Robinson,RB,Peter Pan + the Lost Boys ,260.66,18.62,220.3,16.95,13,62.16853130886926
1 - 5,Amon-Ra St. Brown,WR,Terrell Suggs to be you,229.2,15.28,185.68,14.28,13,61.851654609936226
3 - 7,Kyler Murray,QB,Peter Pan + the Lost Boys ,264.09,17.61,222.88,17.14,13,61.68973619042796
5 - 1,Rhamondre Stevenson,RB,the   jadey bunch,168.88,12.06,138.5,11.54,12,61.52274294127826
3 - 5,Brock Purdy,QB,Terrell Suggs to be you,259.3,17.29,211.48,17.62,12,60.39169839500477
5 - 8,Zay Flowers,WR,It HURTS being an Eagles fan ,177.24,11.82,144.7,11.13,13,59.86132025264213
14 - 14,Xavier Legette,WR,the   jadey bunch,108.6,7.24,88.9,6.84,13,59.72525541584695
4 - 13,Caleb Williams,QB,Crazy Kat,252.19,16.81,204.34,15.72,13,59.45182620377067
5 - 10,Matthew Stafford,QB,Toon Squad,240.5,16.03,191.22,14.71,13,58.6208542002971
7 - 3,Justin Herbert,QB,Wu-Tangs Killabeez,252.01,16.8,196.96,15.15,13,58.23552036328806
4 - 9,Malik Nabers,WR,sports,181.4,12.09,142.1,12.92,11,58.21636017037829
6 - 13,Brian Robinson Jr.,RB,Crazy Kat,161.33,11.52,128.5,12.85,10,58.14127751558755
13 - 4,Younghoe Koo,K,Dirty Tone and  The Boys,137.08,8.06,103.0,7.92,13,57.72744943640179
3 - 2,Rachaad White,RB,Crazy Kat,198.51,14.18,149.6,12.47,12,57.37998924439705
10 - 4,David Njoku,TE,Taco Tuesday Everyday,138.68,9.25,105.9,10.59,10,57.37981083700137
5 - 3,DJ Moore,WR,Wu-Tangs Killabeez,184.91,12.33,140.8,10.83,13,57.37160775350407
2 - 14,Cooper Kupp,WR,the   jadey bunch,178.91,11.93,134.2,14.91,9,57.354773931648594
