Team,Draft Grade,Letter Grade,League Name,Standing,Points For,Points Against,Record,Year,LPI,Pick Number,First Pick Points,Top Two Pick Points,Top Four Pick Points,Number of A Grades
Peter Pan + the Lost Boys ,74.18,C,THE BEST OF THE BEST,1.0,1647.74,1410.68,10-4-0,2023.0,40.0,7,316.9,652.5999999999999,1090.0,3.0
Pitman MaleManipulator,74.14,C,EBC League,6.0,1790.5,1823.86,6-8-0,2022.0,15.0,4,395.52,637.92,1002.42,2.0
Killler jatt ,74.14,C,Brown Munde,3.0,1640.04,1423.32,11-3-0,2023.0,-1.0,3,225.72,581.42,878.72,1.0
Dirty Tone and  The Boys,74.13,C,THE BEST OF THE BEST,14.0,1410.12,1429.24,5-9-0,2022.0,-2.0,6,286.26,548.86,887.56,3.0
Team HebAchi,74.13,C,Game of Yards!,2.0,1749.4,1601.44,22-6-0,2024.0,32.0,6,260.18,427.28,818.28,1.0
Team Cogs,74.04,C,Pennoni Younglings,4.0,1640.26,1378.62,12-2-0,2022.0,50.0,5,313.86,601.56,1125.06,3.0
Bhambhwani Pawan Dilip,74.0,C,Game of Yards!,3.0,1514.28,1468.76,8-6-0,2021.0,-4.0,3,166.9,386.0,858.4000000000001,1.0
The  Dream crusher,73.98,C,THE BEST OF THE BEST,5.0,1595.4,1339.04,10-4-0,2023.0,1.0,1,232.66,395.26,669.62,1.0
Still Rollin',73.91,C,Brown Munde,1.0,1706.28,1514.14,10-4-0,2023.0,38.0,2,223.4,513.3,948.9599999999999,1.0
Did I Set My Lineup?,73.73,C,Turf On Grade 2.0,2.0,1886.46,2009.76,7-7-0,2023.0,-2.0,4,185.4,459.20000000000005,825.4000000000001,1.0
Crazy Kat,73.72,C,THE BEST OF THE BEST,4.0,1574.02,1339.88,11-3-0,2022.0,52.0,2,313.86,444.86,1054.98,3.0
Pitman OBJYN,73.66,C,EBC League,4.0,1713.52,1867.46,6-8-0,2021.0,6.0,8,296.5,608.6600000000001,1197.2600000000002,0.0
Team Padodara,73.63,C,Brown Munde,4.0,1632.56,1588.82,9-5-0,2023.0,36.0,6,372.8,543.5,955.7,3.0
PAI Alcoholics Anonymous ,73.59,C,Pennoni Younglings,3.0,1463.36,1518.54,7-7-0,2022.0,37.0,3,202.96,389.86,1036.3600000000001,2.0
Pleasant Valley Panthers,73.56,C,EBC League,3.0,1710.14,1757.36,6-8-0,2021.0,0.0,5,223.46,472.06,886.56,0.0
"All Barkley, No Bite",73.5,C,Brown Munde,8.0,1398.2,1798.9,1-13-0,2023.0,-4.0,9,143.9,384.56,886.28,1.0
THE BIGMADBLUE,73.49,C,Brown Munde,4.0,1610.18,1613.84,14-14-0,2024.0,13.0,2,216.4,349.0,900.64,2.0
Still Rollin',73.47,C,Brown Munde,3.0,1753.78,1403.54,21-7-0,2024.0,24.0,9,267.68,530.78,1005.8799999999999,1.0
Wakanda Forever,73.46,C,Game of Yards!,5.0,1429.38,1500.88,14-14-0,2023.0,-20.0,2,217.22,384.41999999999996,897.54,1.0
Did I Set My Lineup?,73.01,C,Turf On Grade 2.0,9.0,1623.2,1625.66,6-8-0,2024.0,-23.0,7,355.3,607.2,1002.2,2.0
Multiple Scoregasm,73.01,C,Game of Yards!,6.0,1565.54,1553.54,8-6-0,2020.0,-10.0,7,336.28,536.48,856.48,2.0
Wakanda Forever,72.99,C-,Game of Yards!,1.0,1591.16,1540.32,9-5-0,2020.0,-2.0,4,320.7,582.0,902.9,2.0
Reagor Bombs,72.97,C-,RRR On Premise,,,,,,,5,252.06,582.46,1158.16,2.0
Vidhi's Spirited Team,72.97,C-,Game of Yards!,7.0,1542.52,1720.5,11-17-0,2024.0,-6.0,8,185.4,529.2,929.8000000000001,2.0
Came and Wentz,72.97,C-,Pennoni Younglings,6.0,1651.04,1608.9,9-5-0,2024.0,0.0,4,405.0,741.4,1067.0,3.0
Abyss Diamond Eyes,72.94,C-,EBC League,7.0,1709.48,1811.9,4-10-0,2022.0,-18.0,3,356.36,568.06,952.9599999999999,1.0
Team Sunshine,72.84,C-,THE BEST OF THE BEST,3.0,1421.42,1590.74,7-7-0,2023.0,20.0,11,21.1,216.2,670.64,1.0
Toon Squad,72.8,C-,THE BEST OF THE BEST,4.0,1550.0,1383.84,8-6-0,2023.0,17.0,9,134.9,491.72,895.6200000000001,1.0
It HURTS being an Eagles fan ,72.79,C-,THE BEST OF THE BEST,4.0,1568.32,1524.64,9-5-0,2024.0,20.0,8,315.12,642.02,907.22,3.0
Crazy Kat,72.75,C-,THE BEST OF THE BEST,3.0,1370.56,1376.48,7-7-0,2024.0,-43.0,2,379.04,582.44,1011.08,1.0
India's Most Wanted,72.74,C-,0755 Fantasy Football,9.0,1409.56,1463.8,4-9-0,2023.0,36.0,6,172.9,444.29999999999995,1028.92,3.0
Team Rodriguez,72.74,C-,THE BEST OF THE BEST,9.0,1375.7,1425.3,4-10-0,2022.0,3.0,9,285.5,319.5,697.6,3.0
Pain Inflictors,72.72,C-,Game of Yards!,3.0,1545.28,1524.82,12-16-0,2024.0,-16.0,2,215.9,326.6,538.8,2.0
Wakanda Forever,72.69,C-,Game of Yards!,4.0,1693.36,1455.66,8-6-0,2021.0,7.0,4,320.7,582.0,902.9,2.0
Tortured Football Department,72.69,C-,Family Fantasy,12.0,1459.84,1625.1,3-11-0,2024.0,-34.0,12,362.9,678.02,1018.4200000000001,1.0
Seigaku FC,72.69,C-,EBC League,6.0,1836.6,1735.06,8-6-0,2021.0,27.0,2,372.7,598.8,1140.8,3.0
Metcalves of Steele,72.6,C-,0755 Fantasy Football,7.0,1295.18,1734.14,1-13-0,2024.0,-62.0,1,47.8,178.0,609.5999999999999,3.0
Book of MoreMoms,72.59,C-,Pennoni Younglings,6.0,1467.52,1359.5,7-7-0,2022.0,-7.0,7,304.66,445.06000000000006,903.46,2.0
Pure Mature,72.58,C-,EBC League,1.0,1807.36,1600.98,8-6-0,2021.0,8.0,6,262.8,607.1,1127.28,3.0
THE BIGMADBLUE,72.52,C-,Game of Yards!,1.0,1534.2,1482.3,8-6-0,2021.0,18.0,9,183.2,448.3,758.8000000000001,2.0
For Me to Poop on,72.49,C-,Family Fantasy,2.0,1579.82,1602.28,7-7-0,2024.0,-3.0,5,316.18,373.08,772.0799999999999,3.0
The Truth Hurts,72.42,C-,THE BEST OF THE BEST,6.0,1361.56,1456.32,6-8-0,2022.0,13.0,10,202.96,451.06,823.3599999999999,2.0
Team BIGMADBLUE,72.4,C-,Game of Yards!,4.0,1703.36,1621.14,8-6-0,2020.0,48.0,4,326.6,711.0,991.6999999999999,2.0
Dak Stinks,72.27,C-,0755 Fantasy Football,6.0,1901.86,1636.18,8-6-0,2024.0,42.0,8,403.0,609.6,1143.2,3.0
The Golden Receivers,72.06,C-,Pennoni Younglings,2.0,1553.28,1480.06,10-4-0,2022.0,18.0,9,209.5,470.8,853.6999999999999,4.0
Bhambhwani Pawan Dilip,71.97,C-,Game of Yards!,9.0,1379.72,1423.08,9-19-0,2023.0,-46.0,9,219.6,434.0,666.8,0.0
Breece Hall Sucks,71.95,C-,Family Fantasy,11.0,1579.54,1696.56,4-10-0,2024.0,1.0,7,240.9,437.4,884.1,1.0
Toby's Favorite Employee,71.92,C-,RRR On Premise,,,,,,,,,,,
Wu-Tangs Killabeez,71.82,C-,THE BEST OF THE BEST,6.0,1500.3,1509.92,7-7-0,2024.0,0.0,3,212.9,273.6,612.62,2.0
Team Corner Office,71.82,C-,Pennoni Younglings,11.0,1351.98,1426.58,6-8-0,2022.0,-11.0,2,163.9,341.1,545.8,0.0
The Golden Receivers,71.72,C-,Pennoni Younglings,5.0,1497.52,1551.18,7-7-0,2023.0,14.0,6,21.1,156.0,535.1400000000001,1.0
The  Dream crusher,71.65,C-,THE BEST OF THE BEST,1.0,1550.78,1464.2,7-7-0,2022.0,38.0,14,189.6,450.9,984.9,3.0
Brady Gaga,71.63,C-,0755 Fantasy Football,10.0,1327.54,1401.0,4-8-0,2023.0,59.0,7,202.7,439.29999999999995,832.42,1.0
BHam Legion,71.61,C-,Turf On Grade 2.0,8.0,1578.02,1591.76,7-7-0,2024.0,-23.0,6,218.2,424.79999999999995,946.0999999999999,1.0
