Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
6 - 4,74,Aaron Jones,RB,Taco Tuesday Everyday,168.32,12.02,168.0,12.92,13,84.13,B,{5BB3D15D-39B8-4E48-B3D1-5D39B84E4804}
11 - 8,148,Zach Charbonnet,RB,It HURTS being an Eagles fan ,122.21,8.73,132.3,10.18,13,84.12,B,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
8 - 8,106,Jayden Reed,WR,Peter Pan + the Lost Boys ,149.29,9.95,146.1,11.24,13,83.9,B,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
1 - 5,5,Amon-Ra St. Brown,WR,Terrell Suggs to be you,229.2,15.28,185.68,14.28,13,83.73,B,{F36C2167-D2A7-474C-A7DF-4FA5C1F3868B}
7 - 12,96,Courtland Sutton,WR,Team Rodriguez,153.97,10.26,149.3,11.48,13,83.67,B,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
14 - 3,185,Tank Bigsby,RB,Team Rodriguez,67.93,4.85,97.7,8.14,12,83.6,B,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
3 - 10,38,James Cook,RB,Toon Squad,197.29,14.09,178.7,14.89,12,83.18,B,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
6 - 12,82,Trey McBride,TE,Wu-Tangs Killabeez,140.95,9.4,137.3,11.44,12,82.57,B-,{8BED9748-9839-4F55-AD97-4898394F5553}
5 - 12,68,D'Andre Swift,RB,Team Rodriguez,163.33,11.67,154.7,11.9,13,82.54,B-,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
4 - 8,50,Drake London,WR,Peter Pan + the Lost Boys ,183.91,12.26,159.8,12.29,13,82.5,B-,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
14 - 12,194,Jake Bates,K,Wu-Tangs Killabeez,137.91,8.11,125.0,9.62,13,82.24,B-,{8BED9748-9839-4F55-AD97-4898394F5553}
11 - 2,142,Jameson Williams,WR,Crazy Kat,134.77,8.98,120.1,10.92,11,82.16,B-,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
9 - 10,122,Rico Dowdle,RB,Toon Squad,134.61,9.61,132.1,11.01,12,81.92,B-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
7 - 3,87,Justin Herbert,QB,Wu-Tangs Killabeez,252.01,16.8,196.96,15.15,13,81.89,B-,{8BED9748-9839-4F55-AD97-4898394F5553}
