Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
14 - 11,167,Jake Bates,K,Daddy's Home,132.02,7.77,123.0,9.46,13,80.85,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 2,50,Patrick Mahomes,QB,Daddy's Home,308.91,20.59,217.56,16.74,13,80.85,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
10 - 8,116,Jameson Williams,WR,Philadelphia Bills Mafia,161.84,10.79,139.6,12.69,11,80.74,B-,{65213399-AD95-4113-B087-DAB0440DEF10}
13 - 5,149,Alexander Mattison,RB,Philadelphia Bills Mafia,92.89,6.64,107.5,10.75,10,80.74,B-,{65213399-AD95-4113-B087-DAB0440DEF10}
9 - 4,100,Aaron Rodgers,QB,Came and Wentz,266.24,17.75,188.24,14.48,13,80.4,B-,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
3 - 3,27,Nico Collins,WR,PAI Alcoholics Anonymous ,229.86,15.32,156.2,19.52,8,80.35,B-,{0CE04EAF-1603-4259-869A-A567F9953F44}
1 - 2,2,Breece Hall,RB,Daddy's Home,289.65,20.69,189.3,15.77,12,80.26,B-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
4 - 5,41,Kenneth Walker III,RB,Partners for What's Possible,212.59,15.19,167.3,16.73,10,80.17,B-,{5E530C03-3F19-48F0-A309-52B769E76347}
16 - 3,183,Jason Sanders,K,The Golden Receivers,125.6,7.39,112.0,8.62,13,80.09,B-,{4656A2AD-A939-460B-96A2-ADA939760B8B}
4 - 6,42,Cooper Kupp,WR,19th St Halal Cart,218.11,14.54,165.7,16.57,10,79.97,C+,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
4 - 8,44,Zay Flowers,WR,Philadelphia Bills Mafia,216.56,14.44,174.7,13.44,13,79.51,C+,{65213399-AD95-4113-B087-DAB0440DEF10}
4 - 4,40,DJ Moore,WR,Prahlad's Ghost,223.77,14.92,174.8,13.45,13,79.15,C+,{0FCD52B7-4836-49D1-8E35-7FFB99B37B42}
14 - 9,165,Taysom Hill,TE,Came and Wentz,125.82,8.39,102.34,12.79,8,78.78,C+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
3 - 2,26,Rachaad White,RB,Daddy's Home,225.46,16.1,170.1,14.18,12,78.65,C+,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 9,69,David Njoku,TE,Came and Wentz,170.78,11.39,133.9,13.39,10,78.44,C+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
6 - 3,63,Rhamondre Stevenson,RB,The Golden Receivers,192.0,13.71,154.0,12.83,12,78.37,C+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
13 - 10,154,Kirk Cousins,QB,The Golden Receivers,252.04,16.8,171.84,13.22,13,77.93,C+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
4 - 3,39,Travis Kelce,TE,The Golden Receivers,209.23,13.95,158.3,12.18,13,77.92,C+,{4656A2AD-A939-460B-96A2-ADA939760B8B}
5 - 5,53,George Pickens,WR,Philadelphia Bills Mafia,209.16,13.94,155.4,12.95,12,77.8,C+,{65213399-AD95-4113-B087-DAB0440DEF10}
16 - 9,189,Daniel Jones,QB,Came and Wentz,226.12,16.15,135.3,13.53,10,77.32,C+,{C184521A-CEAF-42DB-8452-1ACEAFE2DBB7}
5 - 7,55,Tee Higgins,WR,19th St Halal Cart,202.19,14.44,133.1,16.64,8,77.11,C+,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
9 - 7,103,Pat Freiermuth,TE,19th St Halal Cart,138.12,9.21,119.0,9.15,13,76.64,C,{DC811D3C-5EC4-4818-8E91-66D1350A42D2}
1 - 6,6,Tyreek Hill,WR,Eli,299.24,19.95,177.2,13.63,13,76.32,C,{4406D5E2-027E-496A-8DB3-92E87CDFFD33}
15 - 11,179,Jake Moody,K,Team Cogs,131.16,7.72,92.0,8.36,11,76.1,C,{91828F94-1966-4B65-828F-9419663B65D8}
2 - 12,24,Davante Adams,WR,Pennoni Adjacent,234.22,15.61,148.2,14.82,10,76.05,C,{4FB9792B-D0E9-407C-A000-A60B0F30DB08}
11 - 12,132,Justin Tucker,K,Pho_King,138.3,8.14,99.0,7.62,13,75.98,C,{8E853A19-B927-4F0B-B78A-85B0F21BBBBB}
15 - 3,171,Demarcus Robinson,WR,PAI Alcoholics Anonymous ,152.94,10.2,113.3,8.09,14,75.8,C,{0CE04EAF-1603-4259-869A-A567F9953F44}
