Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
7 - 9,69,Ronald Jones II,RB,Muqaddar Ka Sikandar,143.29,10.24,173.8,12.41,14,79.9,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
6 - 6,56,Dak Prescott,QB,Bhambhwani Pawan Dilip,310.4,20.69,139.14,27.83,5,79.89,C+,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
3 - 9,29,JuJu Smith-Schuster,WR,Muqaddar Ka Sikandar,183.27,12.22,185.6,11.6,16,79.54,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
17 - 1,161,Jason Myers,K,Team TitBit,120.66,7.54,138.0,8.62,16,79.43,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
15 - 9,149,Joe Burrow,QB,Muqaddar Ka Sikandar,239.43,15.96,173.72,17.37,10,79.4,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
6 - 3,53,Melvin Gordon III,RB,Wakanda Forever,176.61,12.61,182.9,12.19,15,78.38,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
16 - 7,157,Younghoe Koo,K,Team BIGMADBLUE,124.78,7.8,166.0,11.07,15,78.16,C+,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
3 - 1,21,Chris Godwin,WR,Team TitBit,202.71,13.51,158.5,13.21,12,77.69,C+,{CFED3745-01A7-4D35-B869-DD322FB8CCE1}
1 - 9,9,Miles Sanders,RB,Muqaddar Ka Sikandar,223.32,17.18,159.4,13.28,12,77.56,C+,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
12 - 3,113,Ravens D/ST,D/ST,Wakanda Forever,128.39,8.02,129.0,8.06,16,77.52,C+,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
6 - 1,51,Terry McLaurin,WR,Fresh Prince  Of Hel-Aire,172.58,11.51,183.3,12.22,15,76.88,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
15 - 2,142,Colts D/ST,D/ST,Team Amijaz,129.47,8.09,147.0,9.19,16,76.82,C,{E8084BA7-697B-4617-884B-A7697B7617C9}
5 - 2,42,Mark Andrews,TE,Team Amijaz,167.58,11.17,141.1,10.08,14,76.78,C,{E8084BA7-697B-4617-884B-A7697B7617C9}
2 - 1,11,Clyde Edwards-Helaire,RB,Fresh Prince  Of Hel-Aire,241.71,17.27,158.0,12.15,13,76.78,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
4 - 4,34,Todd Gurley II,RB,Multiple Scoregasm,201.44,14.39,150.7,10.05,15,76.74,C,{65AA71E4-A3D5-46CC-A222-C0C93E886D81}
5 - 8,48,Cooper Kupp,WR,Wakanda Forever,176.35,11.76,164.2,10.95,15,76.67,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
11 - 3,103,Steelers D/ST,D/ST,Team Vellapanti,136.54,8.53,153.0,9.56,16,76.54,C,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
6 - 5,55,D'Andre Swift,RB,Pain Inflictors,142.8,10.2,166.8,12.83,13,76.42,C,{4802A561-2D04-4FD7-AFB4-E8C5CDCD4C04}
16 - 1,151,J.K. Dobbins,RB,Fresh Prince  Of Hel-Aire,121.48,8.68,161.0,10.73,15,76.22,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
17 - 8,168,Ka'imi Fairbairn,K,Wakanda Forever,120.21,7.51,128.0,8.0,16,76.16,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
9 - 10,90,Carson Wentz,QB,Fresh Prince  Of Hel-Aire,273.94,19.57,199.4,16.62,12,75.74,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
3 - 8,28,James Conner,RB,Wakanda Forever,178.77,13.75,147.1,11.32,13,75.48,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
2 - 3,13,Austin Ekeler,RB,Wakanda Forever,207.58,14.83,138.3,13.83,10,75.12,C,{85C7DDE2-8C6F-4A9A-85F8-F5D550F146AC}
8 - 1,71,Marquise Brown,WR,Fresh Prince  Of Hel-Aire,158.03,10.54,156.0,9.75,16,74.96,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
13 - 4,124,Daniel Jones,QB,Team BIGMADBLUE,255.75,17.05,181.02,12.93,14,74.93,C,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
13 - 2,122,T.J. Hockenson,TE,Team Amijaz,115.4,7.69,141.8,8.86,16,74.92,C,{E8084BA7-697B-4617-884B-A7697B7617C9}
10 - 1,91,Justin Tucker,K,Fresh Prince  Of Hel-Aire,135.22,8.45,142.0,8.88,16,74.5,C,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
12 - 7,117,Hayden Hurst,TE,Team BIGMADBLUE,115.77,7.72,121.6,7.6,16,73.86,C,{949FEE5A-4440-43DB-9FEE-5A4440A3DBBC}
12 - 9,119,Noah Fant,TE,Team Amijaz,119.13,7.94,118.3,7.89,15,73.61,C,{E8084BA7-697B-4617-884B-A7697B7617C9}
7 - 5,65,Jarvis Landry,WR,Bhambhwani Pawan Dilip,171.69,11.45,151.96,10.13,15,73.32,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
13 - 5,125,Mike Gesicki,TE,Bhambhwani Pawan Dilip,112.4,7.49,132.8,8.85,15,73.14,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
15 - 5,145,Greg Zuerlein,K,Bhambhwani Pawan Dilip,123.77,7.74,146.0,9.12,16,73.07,C,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
3 - 3,23,George Kittle,TE,Team Vellapanti,183.59,12.24,101.6,12.7,8,72.07,C-,{4C1C5213-4BB5-4243-87AC-0BCB2D637264}
5 - 10,50,Rob Gronkowski,TE,Fresh Prince  Of Hel-Aire,116.59,8.33,126.8,7.93,16,72.02,C-,{7C5105C9-0740-4E06-AF54-4D5BAF9475AC}
10 - 6,96,Harrison Butker,K,Bhambhwani Pawan Dilip,142.27,8.89,132.0,8.25,16,71.83,C-,{5E7FB20B-E820-4BAD-BFB2-0BE820DBADF3}
8 - 2,72,DeVante Parker,WR,Muqaddar Ka Sikandar,169.74,11.32,134.8,9.63,14,71.62,C-,{60CC5CD8-3581-4D90-95A9-86CD9BECD0C9}
