Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
12 - 3,135,Darnell Mooney,WR,Oh My Josh,174.04,11.6,193.2,12.07,16,83.95,B,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
10 - 8,116,Aaron Rodgers,QB,For Me to Poop on,265.24,17.68,256.58,15.09,17,83.85,B,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
5 - 12,60,D'Andre Swift,RB,Tortured Football Department,180.74,12.91,214.5,12.62,17,83.85,B,{8F726947-16B6-4023-8839-58DD00CD6659}
2 - 2,14,Garrett Wilson,WR,Your Mom,251.59,16.77,251.9,14.82,17,83.79,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
14 - 9,165,Hunter Henry,TE,Gabe's Grand Team,111.04,7.4,145.4,9.09,16,83.64,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
1 - 11,11,Jonathan Taylor,RB,Your Mom,256.83,18.34,244.7,17.48,14,83.63,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
7 - 11,83,Najee Harris,RB,Your Mom,174.97,12.5,204.6,12.04,17,83.4,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
8 - 2,86,Tony Pollard,RB,Your Mom,172.81,12.34,200.7,12.54,16,83.33,B,{F1F84656-65C6-418D-85EB-A941DF949C09}
1 - 4,4,CeeDee Lamb,WR,Gabe's Grand Team,316.73,21.12,263.4,17.56,15,83.22,B,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
4 - 2,38,Patrick Mahomes,QB,Your Mom,307.68,20.51,283.02,17.69,16,82.9,B-,{F1F84656-65C6-418D-85EB-A941DF949C09}
8 - 6,90,Jayden Reed,WR,Breece Hall Sucks,180.45,12.03,197.0,11.59,17,81.72,B-,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
7 - 6,78,Jordan Love,QB,Numb Nutz - CHAMP,206.72,17.23,233.86,15.59,15,81.63,B-,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
15 - 5,173,Matthew Stafford,QB,For Me to Poop on,240.5,16.03,214.58,13.41,16,81.24,B-,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
3 - 9,33,Nico Collins,WR,Rizzly Bears,229.68,15.31,210.6,17.55,12,81.14,B-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
9 - 10,106,Xavier Worthy,WR,Oh My Josh,176.21,11.75,187.2,11.01,17,80.78,B-,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
7 - 1,73,Zay Flowers,WR,lawrence's Loud Team,216.41,14.43,209.5,12.32,17,80.68,B-,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
1 - 7,7,Breece Hall,RB,Breece Hall Sucks,289.43,20.67,240.9,15.06,16,80.09,B-,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
5 - 7,55,Mark Andrews,TE,Breece Hall Sucks,188.32,12.55,188.8,11.11,17,79.55,C+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
4 - 8,44,DeVonta Smith,WR,For Me to Poop on,225.23,15.02,199.4,15.34,13,78.72,C+,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
2 - 3,15,Puka Nacua,WR,Oh My Josh,257.99,17.2,206.6,18.78,11,78.69,C+,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
1 - 9,9,A.J. Brown,WR,Rizzly Bears,259.78,17.32,216.9,16.68,13,78.61,C+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
3 - 1,25,Travis Kelce,TE,lawrence's Loud Team,209.13,13.94,195.4,12.21,16,78.36,C+,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
16 - 10,190,Lions D/ST,D/ST,SIGMAS,106.71,6.28,100.0,5.88,17,78.18,C+,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
6 - 1,61,Calvin Ridley,WR,Tortured Football Department,219.39,14.63,199.2,11.72,17,77.87,C+,{8F726947-16B6-4023-8839-58DD00CD6659}
12 - 6,138,Justin Tucker,K,Breece Hall Sucks,141.89,8.35,135.0,7.94,17,77.84,C+,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
15 - 1,169,Romeo Doubs,WR,lawrence's Loud Team,135.18,9.01,132.1,10.16,13,76.89,C,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
15 - 12,180,Cole Kmet,TE,Tortured Football Department,113.65,7.58,120.4,7.08,17,76.73,C,{8F726947-16B6-4023-8839-58DD00CD6659}
8 - 9,93,David Njoku,TE,Gabe's Grand Team,170.71,11.38,148.5,13.5,11,76.72,C,{252B710A-A1BF-4BDD-93A8-A65DA1410626}
3 - 5,29,Rachaad White,RB,For Me to Poop on,225.31,16.09,199.6,12.48,16,76.38,C,{80A5169E-FE6E-46F3-A516-9EFE6EE6F368}
11 - 8,128,Tua Tagovailoa,QB,Golden Receivers,240.5,16.03,181.58,16.51,11,76.11,C,{4656A2AD-A939-460B-96A2-ADA939760B8B}
6 - 6,66,Keenan Allen,WR,Breece Hall Sucks,202.19,15.55,184.4,12.29,15,76.1,C,{A1A69B8D-9552-46EC-8145-7D9DC7026AC9}
4 - 3,39,Kenneth Walker III,RB,Oh My Josh,212.4,15.17,181.2,15.1,12,75.98,C,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
12 - 12,144,Chiefs D/ST,D/ST,lawrence's Loud Team,102.3,6.02,98.0,5.76,17,75.88,C,{D0CA38D4-82C5-48C1-8974-77C7B710B5EB}
15 - 3,171,Taysom Hill,TE,SIGMAS,125.77,8.38,102.34,12.79,8,75.66,C,{6056B364-2BEC-43D7-A948-C08055FA2C5F}
9 - 6,102,Jake Elliott,K,Numb Nutz - CHAMP,143.43,8.44,133.0,7.82,17,75.35,C,{44E96D81-20A7-4A88-AA77-7AF689BE12D7}
13 - 10,154,DeMario Douglas,WR,Oh My Josh,164.84,10.99,147.7,8.69,17,75.34,C,{5134AA18-1271-4376-B91C-1EECCCFF2E92}
5 - 9,57,Rhamondre Stevenson,RB,Rizzly Bears,191.88,13.71,175.9,11.73,15,75.33,C,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
