Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
7 - 3,75,Jacory Croskey-Merritt,RB,Chase Ball. Touchdown!,163.77,9.63,137.4,8.59,16,70.49,C-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
11 - 10,130,Rashid Shaheed,WR,Dookey Dukes,179.17,10.54,155.4,9.14,16,70.2,C-,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
16 - 6,186,Harrison Butker,K,dFIBulators,138.62,8.15,129.0,8.06,16,69.93,D+,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
4 - 3,39,Brian Thomas Jr.,WR,Dookey Dukes,270.04,15.88,130.9,10.07,13,69.91,D+,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
15 - 12,180,Kareem Hunt,RB,Papa Murphy’s Pizza,99.97,5.88,138.9,8.68,16,69.7,D+,{4F687E43-B817-4279-A344-79DC261E83B4}
4 - 11,47,Marvin Harrison Jr.,WR,Caleb's Calculated Team,240.0,14.12,127.8,10.65,12,69.66,D+,{73111650-DB56-4FEE-A451-8B9B298D4624}
10 - 12,120,Colston Loveland,TE,Club Penguins,155.19,9.13,140.0,9.33,15,69.51,D+,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
13 - 2,146,Rachaad White,RB,Caleb's Calculated Team,128.09,7.53,136.9,8.56,16,69.45,D+,{73111650-DB56-4FEE-A451-8B9B298D4624}
9 - 1,97,Tyrone Tracy Jr.,RB,Club Penguins,206.87,12.17,132.9,9.49,14,69.17,D+,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
1 - 4,4,Jayden Daniels,QB,BetterThanDeanAtSF6,371.59,21.86,114.28,16.33,7,69.08,D+,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
7 - 12,84,Aaron Jones Sr.,RB,Papa Murphy’s Pizza,216.32,12.72,118.7,9.89,12,68.9,D+,{4F687E43-B817-4279-A344-79DC261E83B4}
1 - 5,5,Joe Burrow,QB,Balls@ck Gafoor,330.46,19.44,113.32,16.19,7,68.83,D+,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
11 - 7,127,Jordan Addison,WR,dFIBulators,167.31,11.95,133.3,10.25,13,68.78,D+,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
7 - 7,79,Mark Andrews,TE,dFIBulators,173.38,10.2,127.6,7.98,16,68.53,D+,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
13 - 6,150,Vikings D/ST,D/ST,Ross' Sauces,120.67,7.1,120.0,7.5,16,68.48,D+,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
15 - 9,177,Eagles D/ST,D/ST,Yvng Killas,97.75,5.75,120.0,7.5,16,68.44,D+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
6 - 4,64,Sam LaPorta,TE,Yvng Killas,191.77,11.28,106.9,11.88,9,68.43,D+,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
15 - 7,175,Patriots D/ST,D/ST,dFIBulators,101.44,5.97,119.0,7.44,16,68.29,D+,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
9 - 4,100,J.J. McCarthy,QB,BetterThanDeanAtSF6,282.57,16.62,117.4,13.04,9,68.18,D+,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
13 - 5,149,Hollywood Brown,WR,Balls@ck Gafoor,174.0,10.24,128.3,8.55,15,67.87,D+,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
8 - 5,89,J.K. Dobbins,RB,Chill YNs,171.37,10.08,115.9,11.59,10,67.74,D+,{61563278-5915-4089-8B19-0BFACDFA9B38}
12 - 11,143,Jordan Mason,RB,Caleb's Calculated Team,133.58,7.86,119.5,7.97,15,67.71,D+,{73111650-DB56-4FEE-A451-8B9B298D4624}
12 - 2,134,Steelers D/ST,D/ST,TUFF,132.67,7.8,109.0,6.81,16,67.65,D+,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
12 - 12,144,Bills D/ST,D/ST,Club Penguins,100.27,5.9,110.0,6.88,16,67.47,D+,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
8 - 7,91,Michael Penix Jr.,QB,Ross' Sauces,251.13,14.77,120.28,13.36,9,67.24,D+,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
5 - 2,50,Terry McLaurin,WR,Caleb's Calculated Team,247.66,14.57,104.5,11.61,9,66.4,D,{73111650-DB56-4FEE-A451-8B9B298D4624}
5 - 7,55,Garrett Wilson,WR,dFIBulators,241.4,14.2,99.5,12.44,8,66.31,D,{668E3A23-4B03-4D9E-9804-4C9D479F4E8F}
12 - 5,137,Tyjae Spears,RB,Chill YNs,119.18,9.17,102.0,8.5,12,66.21,D,{61563278-5915-4089-8B19-0BFACDFA9B38}
11 - 5,125,Josh Downs,WR,Balls@ck Gafoor,179.09,10.53,126.8,8.45,15,66.2,D,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
5 - 12,60,Chuba Hubbard,RB,Papa Murphy’s Pizza,258.55,15.21,121.7,8.69,14,66.16,D,{4F687E43-B817-4279-A344-79DC261E83B4}
7 - 11,83,Jerry Jeudy,WR,TUFF,231.44,13.61,116.5,7.28,16,65.82,D,{B644AC1E-B15A-492F-90A8-E74A28ECCC48}
13 - 10,154,Tyler Allgeier,RB,Dookey Dukes,104.78,6.16,120.1,7.51,16,65.53,D,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
15 - 5,173,Brenton Strange,TE,Balls@ck Gafoor,139.46,8.2,100.8,9.16,11,65.46,D,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
4 - 1,37,Xavier Worthy,WR,Papa Murphy’s Pizza,166.79,13.9,109.9,7.85,14,65.41,D,{4F687E43-B817-4279-A344-79DC261E83B4}
6 - 7,67,T.J. Hockenson,TE,Ross' Sauces,184.54,10.86,112.8,7.52,15,65.06,D,{F8ED09F9-E354-49AF-ADF7-73E9D32B62EB}
11 - 4,124,Jayden Higgins,WR,BetterThanDeanAtSF6,161.48,9.5,119.2,7.45,16,64.25,D,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
4 - 10,46,Mike Evans,WR,Chase Ball. Touchdown!,235.07,13.83,79.4,11.34,7,63.99,D,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
16 - 5,185,Jake Elliott,K,Chill YNs,141.38,8.32,104.0,6.5,16,63.84,D,{61563278-5915-4089-8B19-0BFACDFA9B38}
3 - 9,33,Kyler Murray,QB,Yvng Killas,306.94,18.06,77.78,15.56,5,63.84,D,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
5 - 5,53,Alvin Kamara,RB,Balls@ck Gafoor,266.7,15.69,100.7,9.15,11,63.79,D,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
10 - 3,111,Cooper Kupp,WR,Dookey Dukes,202.37,11.9,111.4,7.43,15,63.73,D,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
4 - 4,40,Tyreek Hill,WR,Yvng Killas,263.71,15.51,53.5,13.38,4,63.13,D,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
10 - 8,116,Ricky Pearsall,WR,Balls@ck Gafoor,198.38,11.67,88.6,9.84,9,62.8,D-,{ED03B9B7-0400-49D3-9ED6-622F04F546F8}
9 - 2,98,Chris Godwin Jr.,WR,Caleb's Calculated Team,187.56,14.43,81.2,10.15,8,62.48,D-,{73111650-DB56-4FEE-A451-8B9B298D4624}
2 - 9,21,Malik Nabers,WR,BetterThanDeanAtSF6,301.35,17.73,57.1,14.28,4,62.41,D-,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
7 - 4,76,David Njoku,TE,BetterThanDeanAtSF6,176.39,10.38,86.3,7.19,12,61.68,D-,{97D2EB78-E92D-4E1F-94B3-CE836B504199}
9 - 3,99,Keon Coleman,WR,Chase Ball. Touchdown!,201.02,11.82,93.5,7.79,12,61.52,D-,{FDCCB170-6343-4A5C-BBA2-4A7EE4C6F76A}
14 - 12,168,Mason Taylor,TE,Club Penguins,130.03,7.65,88.9,6.84,13,61.35,D-,{B09021F7-1FD3-4A7C-88A1-FF4EDDEA2BAE}
9 - 10,106,Evan Engram,TE,Dookey Dukes,168.69,9.92,95.3,6.35,15,60.43,D-,{5FC7AD9B-3FD7-48D7-8422-6FC9710A28D4}
7 - 9,81,Travis Hunter,WR,Yvng Killas,212.54,12.5,63.8,9.11,7,60.09,D-,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5}
15 - 8,176,Lions D/ST,D/ST,Chill YNs,122.53,7.21,85.0,5.31,16,59.42,F-,{61563278-5915-4089-8B19-0BFACDFA9B38}
