Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
6 - 4,74,Justin Fields,QB,the   jadey bunch,299.32,17.61,142.66,15.85,9,77.96,C+,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
2 - 11,25,Brock Bowers,TE,Team Rodriguez,207.33,12.2,144.2,12.02,12,77.9,C+,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
5 - 9,65,DeVonta Smith,WR,The Upside Down,178.91,10.52,156.6,9.79,16,77.32,C+,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
8 - 14,112,Rhamondre Stevenson,RB,Crunchwrap Crew,158.39,9.32,128.5,9.88,13,77.19,C+,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
3 - 12,40,George Kittle,TE,Toon Squad,186.46,10.97,127.6,12.76,10,76.93,C,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
8 - 11,109,J.K. Dobbins,RB,Team Rodriguez,152.37,8.96,110.4,11.04,10,76.91,C,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
6 - 14,84,Tony Pollard,RB,Crunchwrap Crew,198.95,11.7,161.3,10.08,16,76.88,C,{07C11068-0E2F-433A-AA64-CF7A44FB08B7}
3 - 10,38,Ladd McConkey,WR,Wu-Tangs Killabeez,197.15,11.6,147.9,9.24,16,76.74,C,{8BED9748-9839-4F55-AD97-4898394F5553}
8 - 13,111,Khalil Shakir,WR,Chasing Flowers,156.8,9.22,130.4,8.15,16,76.66,C,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
10 - 1,127,Geno Smith,QB,Michael's Monstrous Team,261.2,15.36,173.9,11.59,15,76.33,C,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
1 - 4,4,Justin Jefferson,WR,Team Rodriguez,259.72,15.28,145.1,9.07,16,76.26,C,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
4 - 12,54,Kenneth Walker III,RB,Dirty Tone and  The Boys,216.01,12.71,161.1,10.07,16,76.03,C,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
7 - 14,98,Jake Ferguson,TE,Michael's Monstrous Team,117.04,6.88,146.1,9.13,16,75.99,C,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
10 - 8,134,Cam Ward,QB,Peter Pan + the Lost Boys ,257.24,15.13,177.48,11.09,16,75.81,C,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
12 - 5,159,Patriots D/ST,D/ST,Wu-Tangs Killabeez,127.27,7.49,131.0,8.19,16,75.79,C,{8BED9748-9839-4F55-AD97-4898394F5553}
11 - 3,143,Eagles D/ST,D/ST,Dirty Tone and  The Boys,128.19,7.54,143.0,8.94,16,75.7,C,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
12 - 6,160,Harrison Butker,K,The Upside Down,138.62,8.15,129.0,8.06,16,75.65,C,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
9 - 3,115,Cam Skattebo,RB,Dirty Tone and  The Boys,125.35,7.37,115.7,14.46,8,75.41,C,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
