Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
13 - 7,127,Rachaad White,RB,Jockstrap jubilee ,111.96,6.59,117.9,7.37,16,66.3,D,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
4 - 5,35,Terry McLaurin,WR,Ler of the Rings,204.74,12.04,87.5,9.72,9,66.06,D,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
16 - 6,156,Tyler Allgeier,RB,Hall Pass,98.24,5.78,113.6,7.1,16,65.8,D,{9417088B-0880-4F8A-A127-759BF41D4603}
6 - 1,51,Mike Evans,WR,Mhoney Hurts So Good,195.33,11.49,65.4,9.34,7,65.76,D,{5918A112-DDF9-4368-8414-A143EC58B846}
5 - 4,44,Xavier Worthy,WR,Big Ballsy Bozos,140.73,11.73,88.9,6.35,14,64.98,D,{9B611343-247D-458B-88C3-50BB33789365}
11 - 3,103,Jordan Mason,RB,Sacks in the City,126.38,7.43,112.5,7.5,15,64.81,D,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
5 - 1,41,Alvin Kamara,RB,Chicken’s Cougars ,231.07,13.59,84.2,7.65,11,64.47,D,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
13 - 4,124,Josh Downs,WR,Big Ballsy Bozos,141.75,8.34,99.8,6.65,15,64.07,D,{9B611343-247D-458B-88C3-50BB33789365}
16 - 10,160,Matt Gay,K,Chicken’s Cougars ,140.08,8.24,85.0,7.08,12,63.67,D,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
2 - 4,14,Malik Nabers,WR,Jockstrap jubilee ,247.78,14.58,48.1,12.03,4,63.54,D,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
7 - 2,62,Jerry Jeudy,WR,Hunks of Hanet ,186.37,10.96,92.5,5.78,16,63.39,D,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
13 - 8,128,Jayden Higgins,WR,Case Closed ,133.03,7.83,99.7,6.23,16,63.39,D,{1EC10606-80E9-4A6D-A618-E448864CAA58}
10 - 5,95,Cooper Kupp,WR,Ler of the Rings,164.11,9.65,88.9,5.93,15,63.02,D,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
7 - 5,65,T.J. Hockenson,TE,Hall Pass,144.35,8.49,87.3,5.82,15,62.76,D-,{9417088B-0880-4F8A-A127-759BF41D4603}
10 - 8,98,Ricky Pearsall,WR,Sacks in the City,163.96,9.64,70.6,7.84,9,61.87,D-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
6 - 10,60,David Njoku,TE,Chicken’s Cougars ,140.28,8.25,69.8,5.82,12,61.54,D-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
14 - 8,138,Lions D/ST,D/ST,Sacks in the City,122.53,7.21,85.0,5.31,16,61.07,D-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
13 - 3,123,Pat Freiermuth,TE,Sacks in the City,102.79,6.05,86.5,5.41,16,60.88,D-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
13 - 1,121,Tyjae Spears,RB,Chicken’s Cougars ,103.95,8.0,83.0,6.92,12,60.27,D-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
8 - 3,73,Isiah Pacheco,RB,Case Closed ,192.43,11.32,77.8,5.98,13,59.9,F-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
4 - 2,32,Tyreek Hill,WR,Natural rack,216.8,12.75,43.0,10.75,4,59.9,F-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
12 - 10,120,Chris Godwin Jr.,WR,Chicken’s Cougars ,151.76,11.67,65.2,8.15,8,58.68,F-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
12 - 5,115,Keon Coleman,WR,Ler of the Rings,172.85,10.17,75.5,6.29,12,58.55,F-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
14 - 3,133,Ravens D/ST,D/ST,Case Closed ,122.95,7.23,74.0,4.62,16,58.21,F-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
16 - 4,154,Nick Chubb,RB,Jockstrap jubilee ,113.6,6.68,81.8,5.45,15,58.04,F-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
5 - 7,47,James Conner,RB,Jockstrap jubilee ,227.37,13.37,29.3,9.77,3,58.04,F-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
10 - 4,94,Travis Hunter,WR,Jockstrap jubilee ,172.8,10.16,49.8,7.11,7,57.01,F-,{B502FBA7-F2E3-4E73-81F6-2D6F7103471B}
11 - 2,102,Evan Engram,TE,Hunks of Hanet ,128.77,7.57,71.8,4.79,15,56.9,F-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
9 - 3,83,Matthew Golden,WR,Sacks in the City,169.25,9.96,54.2,4.17,13,55.25,F-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
6 - 9,59,Calvin Ridley,WR,Hunks of Hanet ,194.34,11.43,38.8,5.54,7,54.23,F-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
13 - 9,129,Darnell Mooney,WR,Natural rack,132.0,8.25,62.8,4.49,14,53.82,F-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
16 - 1,151,49ers D/ST,D/ST,Mhoney Hurts So Good,76.61,4.51,58.0,3.62,16,53.21,F-,{5918A112-DDF9-4368-8414-A143EC58B846}
15 - 5,145,Trey Benson,RB,Hall Pass,117.0,6.88,28.9,7.22,4,52.96,F-,{9417088B-0880-4F8A-A127-759BF41D4603}
13 - 10,130,Jayden Reed,WR,Mhoney Hurts So Good,147.35,8.67,39.0,6.5,6,51.13,F-,{5918A112-DDF9-4368-8414-A143EC58B846}
16 - 3,153,Jaylen Wright,RB,Case Closed ,41.76,2.98,42.7,4.74,9,48.36,F-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
14 - 10,140,Cedric Tillman,WR,Chicken’s Cougars ,134.56,7.92,46.7,3.89,12,48.36,F-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
15 - 6,146,Jets D/ST,D/ST,Ler of the Rings,99.84,5.87,40.0,2.5,16,47.64,F-,{16EDDDAE-9081-4D42-ADDD-AE90817D4247}
12 - 8,118,Tank Bigsby,RB,Sacks in the City,103.27,6.07,35.2,2.2,16,44.35,F-,{0C1EF165-EE98-44D3-9EF1-65EE9804D340}
10 - 1,91,Austin Ekeler,RB,Mhoney Hurts So Good,181.45,10.67,10.6,5.3,2,44.32,F-,{5918A112-DDF9-4368-8414-A143EC58B846}
16 - 2,152,Adam Thielen,WR,Natural rack,84.41,4.97,24.3,1.62,15,39.06,F-,{D6BE629A-CDFF-4E0C-9979-BFE0C45F3007}
9 - 2,82,Kaleb Johnson,RB,Hunks of Hanet ,148.83,8.75,8.3,0.83,10,36.33,F-,{DFBEAEC0-6413-495E-996E-B8D40DF5E7CE}
9 - 1,81,Joe Mixon,RB,Chicken’s Cougars ,108.0,12.0,0.0,0.0,0,24.25,F-,{E25AE41B-82C0-4A03-A531-4082EAFA9887}
15 - 8,148,Tyler Bass,K,Case Closed ,108.24,8.33,0.0,0.0,0,10.67,F-,{1EC10606-80E9-4A6D-A618-E448864CAA58}
15 - 10,150,Jason Sanders,K,Mhoney Hurts So Good,108.1,8.32,0.0,0.0,0,10.0,F-,{5918A112-DDF9-4368-8414-A143EC58B846}
