Round,Team 1,Seed 1,Score 1,LPI 1,Total Points 1,Record 1,Team 2,Seed 2,Score 2,LPI 2,Total Points 2,Record 2,Winner,Year,League,File Name
Semi Final,Riley  Read option,1,121.28,-10,1723.68,11-3-0,Bryson Stott Fan Club,5,163.5,12,1771.38,7-7-0,Bryson Stott Fan Club,2023,EBC League,EBC League 2023.xlsx
Semi Final,THE POOL,2,140.4,-8,1793.18,8-6-0,Inter Miami CF,3,105.92,27,1833.12,8-6-0,THE POOL,2023,EBC League,EBC League 2023.xlsx
Championship,Bryson Stott Fan Club,5,100.66,14,1771.38,7-7-0,THE POOL,2,161.92,-3,1793.18,8-6-0,THE POOL,2023,EBC League,EBC League 2023.xlsx
Quarter Final,Pleasant Valley Panthers,1,118.86,2,1721.44,10-4-0,Bye,-,-,-,-,-,Pleasant Valley Panthers,2024,EBC League,EBC League 2024.xlsx
Quarter Final,The Hungry Dogs,2,164.48,33,1883.06,10-4-0,Bye,-,-,-,-,-,The Hungry Dogs,2024,EBC League,EBC League 2024.xlsx
Quarter Final,Inter Miami CF,3,99.56,18,1700.82,9-5-0,First down syndrome ,6,106.06,-22,1594.3,6-8-0,First down syndrome ,2024,EBC League,EBC League 2024.xlsx
Quarter Final,JanSteez,4,95.74,-12,1586.02,8-6-0,Bryson Stott Fan Club,5,176.8,10,1652.7,6-8-0,Bryson Stott Fan Club,2024,EBC League,EBC League 2024.xlsx
Semi Final,Pleasant Valley Panthers,1,149.02,9,1721.44,10-4-0,Bryson Stott Fan Club,5,126.88,15,1652.7,6-8-0,Pleasant Valley Panthers,2024,EBC League,EBC League 2024.xlsx
Semi Final,The Hungry Dogs,2,166.66,40,1883.06,10-4-0,First down syndrome ,6,122.88,-18,1594.3,6-8-0,The Hungry Dogs,2024,EBC League,EBC League 2024.xlsx
Championship,Pleasant Valley Panthers,1,174.46,12,1721.44,10-4-0,The Hungry Dogs,2,99.38,40,1883.06,10-4-0,Pleasant Valley Panthers,2024,EBC League,EBC League 2024.xlsx
Quarter Final,Abyss Diamond Eyes,1,112.8,11,1738.42,12-2-0,Bye,-,-,-,-,-,Abyss Diamond Eyes,2025,EBC League,EBC League 2025.xlsx
Quarter Final,Werewolves of London,2,199.62,25,1726.68,9-5-0,Bye,-,-,-,-,-,Werewolves of London,2025,EBC League,EBC League 2025.xlsx
Quarter Final,Pleasant Valley Panthers,3,119.0,36,1699.16,8-6-0,Inter Miami CF,6,143.16,17,1627.68,7-7-0,Inter Miami CF,2025,EBC League,EBC League 2025.xlsx
Quarter Final,OBJYN,4,90.2,-20,1529.02,8-6-0,Riley  Read option,5,95.1,-14,1509.8,7-7-0,Riley  Read option,2025,EBC League,EBC League 2025.xlsx
Semi Final,Abyss Diamond Eyes,1,116.22,7,1738.42,12-2-0,Riley  Read option,5,63.9,-20,1509.8,7-7-0,Abyss Diamond Eyes,2025,EBC League,EBC League 2025.xlsx
Semi Final,Werewolves of London,2,128.7,31,1726.68,9-5-0,Inter Miami CF,6,158.9,25,1627.68,7-7-0,Inter Miami CF,2025,EBC League,EBC League 2025.xlsx
Championship,Abyss Diamond Eyes,1,132.08,12,1738.42,12-2-0,Inter Miami CF,6,100.68,28,1627.68,7-7-0,Abyss Diamond Eyes,2025,EBC League,EBC League 2025.xlsx
Quarter Final,Golden Receivers,1,133.74,48,1892.7,12-2-0,Bye,-,-,-,-,-,Golden Receivers,2024,Family Fantasy,Family Fantasy 2024.xlsx
Quarter Final,Oh My Josh,2,157.88,54,1756.98,9-5-0,Gabe's Grand Team,7,126.84,-1,1561.02,7-7-0,Oh My Josh,2024,Family Fantasy,Family Fantasy 2024.xlsx
Quarter Final,Skibidi Rizzlers,3,100.06,3,1727.26,8-6-0,For Me to Poop on,6,134.24,-2,1579.82,7-7-0,For Me to Poop on,2024,Family Fantasy,Family Fantasy 2024.xlsx
Quarter Final,Numb Nutz - CHAMP,4,160.76,-26,1499.72,8-6-0,lawrence's Loud Team,5,140.84,-25,1478.74,8-6-0,Numb Nutz - CHAMP,2024,Family Fantasy,Family Fantasy 2024.xlsx
Semi Final,Golden Receivers,1,160.02,57,1892.7,12-2-0,Numb Nutz - CHAMP,4,175.34,-15,1499.72,8-6-0,Numb Nutz - CHAMP,2024,Family Fantasy,Family Fantasy 2024.xlsx
Semi Final,Oh My Josh,2,111.06,49,1756.98,9-5-0,For Me to Poop on,6,129.34,-5,1579.82,7-7-0,For Me to Poop on,2024,Family Fantasy,Family Fantasy 2024.xlsx
Championship,Numb Nutz - CHAMP,4,142.52,-11,1499.72,8-6-0,For Me to Poop on,6,111.5,-3,1579.82,7-7-0,Numb Nutz - CHAMP,2024,Family Fantasy,Family Fantasy 2024.xlsx
Quarter Final,Skibidi Rizzlers,1,112.08,46,1763.4,11-3-0,Bye,-,-,-,-,-,Skibidi Rizzlers,2025,Family Fantasy,Family Fantasy 2025.xlsx
Quarter Final,Your Mom,2,145.26,7,1590.24,10-4-0,For Me to Poop on,7,178.4,17,1599.36,6-8-0,For Me to Poop on,2025,Family Fantasy,Family Fantasy 2025.xlsx
